District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Bajali,34,214,431.19,0,0.00,136,182.54,666,1139.37,91,54.06,129,98.48,0,0.00,0,0.00,776,1542.61,2012,3448.25
Baksa,36,59,55.55,0,0.00,41,69.81,39,159.15,238,130.63,71,50.53,0,0.00,0,0.00,319,2199.37,767,2665.04
Barpeta,93,362,314.00,0,0.00,768,624.33,1300,5113.80,594,462.05,608,443.61,0,0.00,0,0.00,1539,9344.14,5171,16301.93
Biswanath,61,47,52.32,0,0.00,14,44.36,52,196.80,836,496.46,176,104.65,0,0.00,0,0.00,557,3878.31,1682,4772.90
Bongaigaon,68,40,98.51,0,0.00,407,336.51,448,1740.65,546,771.67,113,155.44,0,0.00,1,4.75,1569,3573.70,3124,6681.23
Cachar,172,149,234.76,0,0.00,657,668.85,592,2083.07,963,850.73,4125,2572.51,0,0.00,0,0.00,2674,5989.28,9160,12399.20
Charaideo,37,60,33.93,0,0.00,19,29.18,1,0.15,782,399.44,2,1.45,0,0.00,0,0.00,118,1188.26,982,1652.41
Chirang,39,15,25.88,0,0.00,37,24.62,1,1.08,237,212.09,264,124.85,0,0.00,0,0.00,421,1708.68,975,2097.20
Darrang,70,156,48.35,0,0.00,347,606.93,1119,3949.55,1393,941.27,299,239.99,1,75.02,0,0.00,1362,6608.29,4677,12469.40
Dhemaji,51,130,127.39,0,0.00,22,22.72,387,1582.91,660,450.51,56,34.48,0,0.00,0,0.00,801,4892.12,2056,7110.13
Dhubri,88,23,9.37,0,0.00,320,170.90,309,676.84,513,281.73,289,173.59,1,41.42,0,0.00,1387,5639.54,2842,6993.39
Dibrugarh,186,154,240.48,1,4.04,449,571.24,614,2290.32,5157,2609.40,265,218.47,0,0.00,1,4.58,1736,26316.45,8377,32254.98
Dima Hasao,33,8,11.23,0,0.00,10,16.26,1,1.60,0,0,11,21.00,0,0.00,0,0.00,46,308.48,76,358.57
Goalpara,70,38,26.72,0,0.00,69,43.61,283,952.41,473,374.52,454,208.30,0,0.00,0,0.00,1019,5133.81,2336,6739.37
Golaghat,126,218,93.40,0,0.00,63,121.58,585,2128.03,2988,1521.70,256,201.86,0,0.00,0,0.00,2412,9195.69,6522,13262.26
Hailakandi,48,141,211.89,0,0.00,240,334.96,2,6.81,204,224.22,316,177.61,0,0.00,0,0.00,719,1505.50,1622,2460.99
Hojai,65,73,58.08,0,0.00,475,503.95,260,995.63,267,186.54,83,48.48,0,0.00,1,3.00,848,2525.68,2007,4321.36
Jorhat,143,68,136.92,0,0.00,488,830.06,324,1255.88,3321,1771.08,408,298.80,0,0.00,3,724.36,1810,13832.28,6422,18849.38
Kamrup Metro,179,472,896.99,0,0.00,1299,1062.13,491,2118.66,1739,1452.67,800,627.96,0,0.00,1,0.21,8240,15854.48,13042,22013.10
Karbi Anglong,62,26,26.82,0,0.00,80,148.59,217,406.24,101,87.31,33,32.96,0,0.00,0,0.00,178,1304.01,635,2005.93
Kokrajhar,59,66,68.91,0,0.00,226,159.54,65,266.46,357,287.37,216,233.38,0,0.00,0,0.00,963,3938.97,1893,4954.63
Lakhimpur,91,506,1325.48,0,0.00,160,288.60,762,3207.08,1228,882.24,421,306.63,0,0.00,1,0.02,1171,7160.07,4249,13170.12
Majuli,16,17,3.05,0,0.00,1,1.00,-,-,5,10.38,6,4.64,0,0.00,0,0.00,21,931.38,50,950.45
Morigaon,70,480,1289.78,0,0.00,359,321.38,457,1925.68,693,384.75,987,716.96,0,0.00,0,0.00,1610,4622.30,4586,9260.85
Nagaon,156,181,136.06,0,0.00,792,991.52,1870,7691.7,1240,960.10,1957,1677.57,0,0.00,0,0.00,3422,6935.92,9462,18392.87
Nalbari,85,271,402.42,0,0.00,266,445.66,727,3033.68,776,609.04,750,532.46,0,0.00,5,12.35,1805,8234.50,4600,13270.11
Sivasagar,104,164,189.00,0,0.00,426,526.48,370,1375.98,3757,2515.13,271,211.55,1,2.00,1,6.00,1393,9783.98,6383,14610.12
Sonitpur,135,263,282.14,0,0.00,216,230.56,1002,3812.99,804,757.94,336,226.43,0,0.00,1,10.00,1272,12750.13,3894,18070.19
South Salmara,16,0,-,0,0.00,0,-,-,-,-,-,-,-,0,0.00,0,0.00,7,242.50,7,242.50
Tamulpur,21,7,9.81,0,0.00,11,3.48,0,0,117,70.92,51,42.57,0,0.00,0,0.00,47,391.43,233,518.21
Tinsukia,151,306,492.82,0,0.00,1089,2360.30,627,2183.94,1643,1302.62,125,84.14,0,0.00,2,42.63,1305,21477.48,5097,27943.93
Udalguri,56,39,41.24,0,0.00,48,109.29,4,12.3,205,189.69,44,27.41,0,0.00,0,0.00,152,1638.89,492,2018.82
West Karbi Anglong,21,4,4.83,0,0.00,9,43.49,0,0,3,2.66,0,0,0,0.00,0,0.00,26,79.38,42,130.36
