District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bajali,34,119,595.50,117,582.86,277,980.15,86,146.94,14.99
Baksa,36,38,134.13,40,130.41,555,905.21,331,443.87,49.04
Barpeta,93,193,1295.92,224,1236.08,1343,3165.70,556,858.76,27.13
Biswanath,61,53,300.75,91,311.29,295,815.46,100,136.24,16.71
Bongaigaon,68,125,894.34,158,891.56,663,21004.37,280,414.57,1.97
Cachar,172,215,1218.92,253,1194.22,1103,3215.46,402,622.30,19.35
Charaideo,37,24,120.74,23,114.17,170,426.25,90,175.99,41.29
Chirang,39,73,264.53,72,205.72,1019,1291.50,759,770.51,59.66
Darrang,70,83,364.92,102,365.60,568,1123.39,263,374.01,33.29
Dhemaji,51,147,596.22,199,519.46,946,2455.85,368,651.54,26.53
Dhubri,88,235,857.34,253,803.94,1442,2421.23,677,734.25,30.33
Dibrugarh,186,207,1184.65,287,1179.71,1335,3957.66,546,1026.36,25.93
Dima Hasao,33,22,98.26,28,97.29,237,534.91,71,117.42,21.95
Goalpara,70,64,302.70,67,276.04,630,1051.69,414,496.71,47.23
Golaghat,126,64,348.18,124,381.21,653,1520.42,340,589.69,38.78
Hailakandi,48,113,650.44,117,583.26,660,1803.22,235,370.61,20.55
Hojai,65,67,427.54,84,417.13,370,1078.53,103,199.30,18.48
Jorhat,143,73,411.30,92,446.68,500,1345.58,205,297.61,22.12
Kamrup Metro,179,231,1148.15,275,1065.19,1388,3039.97,578,776.51,25.54
Karbi Anglong,62,68,261.27,81,226.61,452,634.02,217,171.22,27.01
Kokrajhar,59,191,711.75,207,676.18,1608,2328.76,1129,1264.07,54.28
Lakhimpur,91,212,1015.57,267,1025.64,1153,3543.71,505,827.74,23.36
Majuli,16,36,174.11,36,164.48,176,415.01,40,67.27,16.21
Morigaon,70,54,288.04,71,305.79,695,1390.11,451,650.97,46.83
Nagaon,156,363,2136.69,406,2113.64,1304,4533.92,572,938.80,20.71
Nalbari,85,112,693.19,141,684.12,834,2197.52,384,706.84,32.17
Sivasagar,104,135,792.59,176,714.63,737,2475.30,255,468.30,18.92
Sonitpur,135,285,1306.54,320,1231.05,1174,2916.91,404,591.10,20.26
South Salmara,16,13,55.68,13,46.37,328,409.67,260,262.75,64.14
Tamulpur,21,23,59.63,24,43.29,209,365.20,107,145.76,39.91
Tinsukia,151,266,1049.71,289,976.47,1352,3904.96,503,914.59,23.42
Udalguri,56,16,128.61,16,94.51,1239,2101.11,1135,1791.67,85.27
West Karbi Anglong,21,11,57.94,11,45.94,25,89.28,3,3.18,3.56
