District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Baksa,57,2604.44,346,1404.84,0,0.00,0,0.00,0,0.00
Barpeta,122,6502.85,1920,12516.4,0,0.00,0,0.00,0,0.00
Biswanath,57,2362.31,149,61.46,0,0.00,0,0.00,0,0.00
Bongaigaon,59,4416.53,658,355.52,0,0.00,0,0.00,0,0.00
Cachar,163,5244.69,1261,965.52,0,0.00,0,0.00,0,0.00
Charaideo,35,2033.94,169,76.08,0,0.00,0,0.00,0,0.00
Chirang,35,1649.55,151,62.08,0,0.00,0,0.00,0,0.00
Darrang,69,3116.96,371,2206.52,0,0.00,0,0.00,0,0.00
Dhemaji,45,3343.16,629,4064.37,0,0.00,0,0.00,0,0.00
Dhubri,87,2826.67,820,1208.95,0,0.00,0,0.00,0,0.00
Dibrugarh,182,9472.04,372,374.38,0,0.00,0,0.00,0,0.00
Dima Hasao,30,102.68,11,7.43,0,0.00,0,0.00,0,0.00
Goalpara,69,2445.50,934,1195.75,0,0.00,0,0.00,0,0.00
Golaghat,120,7355.00,676,2955.79,0,0.00,0,0.00,0,0.00
Hailakandi,44,708.25,314,13303.81,0,0.00,0,0.00,0,0.00
Hojai,57,1348.81,374,1434.59,0,0.00,0,0.00,0,0.00
Jorhat,132,7914.08,314,5229.73,0,0.00,0,0.00,0,0.00
Kamrup Metro,172,9839.80,1022,6545.54,0,0.00,0,0.00,0,0.00
Karbi Anglong,64,2094.47,716,440.07,0,0.00,0,0.00,0,0.00
Karimganj,88,1060.61,185,2190.11,0,0.00,0,0.00,0,0.00
Kokrajhar,51,3187.83,387,3319.02,0,0.00,0,0.00,0,0.00
Lakhimpur,91,4894.55,4435,4516.3,0,0.00,0,0.00,0,0.00
Majuli,16,718.74,81,29.76,0,0.00,0,0.00,0,0.00
Morigaon,67,4450.25,748,12391.95,0,0.00,0,0.00,0,0.00
Nagaon,152,11672.84,633,1495.92,0,0.00,0,0.00,0,0.00
Nalbari,84,2745.48,438,536.15,0,0.00,0,0.00,0,0.00
Sivasagar,97,8019.14,122,65.17,0,0.00,0,0.00,0,0.00
Sonitpur,125,6463.78,686,2431.25,0,0.00,0,0.00,0,0.00
South Salmara,12,163.55,17,9.05,0,0.00,0,0.00,0,0.00
Tinsukia,148,8941.85,6811,6990.75,0,0.00,0,0.00,0,0.00
Udalguri,49,2728.91,206,1689.9,0,0.00,0,0.00,0,0.00
West Karbi Anglong,22,1130.59,32,20.28,0,0.00,0,0.00,0,0.00
