District,Village,No. ofvillages,Coveredby Branch/BC (Cbs enabledbankingoutlet),Noofuncoveredvillages,Noofcoveredvillages
Bishnupur,48,22,22,0,48
Chandel,267,266,222,44,223
Imphal East,141,95,95,0,141
Imphal West,107,67,67,0,107
Jiribam,50,48,48,0,50
Kakching,26,10,10,0,26
Kamjong,118,117,59,41,77
Kangpokpi,533,527,527,0,533
Noney,57,53,53,0,57
Pherzawl,89,87,27,26,63
Senapati,136,83,83,0,136
Tamenglong,117,114,114,0,117
Tengnoupal,163,162,158,3,160
Thoubal,61,29,29,0,61
Ukhrul,95,82,82,0,95
