district,camp_conducted_by_rural_branches_during_the_quarter,no_of_participants,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,total_camps_conducted_during_the_quarter
Alipurduar,78.0,0.0,0.0,0.0,78.0
Bankura,15.0,304.0,6.0,12.0,33.0
Birbhum,82.0,2062.0,19.0,63.0,164.0
Cooch Behar,21.0,486.0,21.0,21.0,63.0
Darjeeling,58.0,650.0,3.0,24.0,85.0
Hooghly,209.0,1001.0,36.0,36.0,281.0
Howrah,15.0,1165.0,5.0,39.0,59.0
Jalpaiguri,82.0,0.0,0.0,0.0,82.0
Jhargram,5.0,120.0,5.0,5.0,15.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,3.0,65.0,3.0,3.0,9.0
Malda,5.0,75.0,3.0,2.0,10.0
Murshidabad,379.0,0.0,0.0,0.0,379.0
Nadia,11.0,697.0,11.0,11.0,33.0
North 24 Parganas,115.0,471.0,5.0,16.0,136.0
Paschim Bardhaman,75.0,248.0,0.0,8.0,83.0
Paschim Medinipur,147.0,95.0,2.0,2.0,151.0
Purba Bardhaman,56.0,440.0,1.0,11.0,68.0
Purba Medinipur,303.0,12988.0,22.0,274.0,599.0
Purulia,19.0,304.0,8.0,11.0,38.0
South 24 Parganas,41.0,386.0,6.0,13.0,60.0
Uttar Dinajpur,24.0,563.0,24.0,24.0,72.0
