district,No,Amount,Amount,C:D Ratio,Rural Br,Urban Br,Br,Br,BC,ATM,Urban,Atm,Atm
Bishnupur,1,23490.82,23490.82,101,4,14,18,18,37,12,7,19,19
Chandel,2,15333.48,15333.48,89,5,0,5,5,7,4,0,4,4
Churachandpur,3,40505.12,40505.12,64,12,5,18,18,29,9,17,28,28
Imphal East,4,70704.39,70704.39,69,21,1,35,35,37,28,2,45,45
Imphal West,5,379474.67,379474.67,61,8,7,74,74,59,63,13,175,175
Jiribam,6,5789.35,5789.35,99,2,0,2,2,4,2,0,2,2
Kakching,7,19915.82,19915.82,156,1,7,8,8,26,5,5,10,10
Kamjong,8,1471.16,1471.16,223,1,0,1,1,2,1,0,1,1
Kangpokpi,9,14959.54,14959.54,96,8,0,8,8,9,7,0,9,9
Noney,10,2278.18,2278.18,125,3,0,3,3,4,1,0,1,1
Pherzawl,11,696.77,696.77,841,1,0,1,1,0,0,0,0,0
Senapati,12,22824.76,22824.76,82,13,1,14,14,,15,3,18,18
Tamenglong,13,3722.92,3722.92,37,3,3,6,6,,0,2,2,2
Tengnoupal,14,8180.44,8180.44,101,3,4,7,7,4,3,3,6,6
Thoubal,15,30508.33,30508.33,70,4,14,18,18,35,14,14,28,28
Ukhrul,16,8320.19,8320.19,47,4,3,7,7,12,1,5,7,7
