district,aadhaar_seeded_3761210,female_a_c_2567394,male_a_c_1854039,rupaycard_issued_3006416,rural_a_c_2593735,total_a_c_4421433,total_deposit_2046_39,urban_a_c_1827698,zero_balance_account_239234
Alipurduar,503804.0,334723.0,250669.0,496599.0,384418.0,585392.0,250.25,200974.0,35445.0
Bankura,1868002.0,1238835.0,991883.0,1273904.0,1939029.0,2230718.0,1167.92,291689.0,125214.0
Birbhum,1948406.0,1339330.0,997295.0,1370573.0,1883227.0,2336625.0,952.31,453398.0,147894.0
Cooch Behar,1400825.0,910315.0,718245.0,1254360.0,1170332.0,1628560.0,435.81,458228.0,98035.0
Darjeeling,545318.0,373044.0,262807.0,500656.0,295132.0,635851.0,365.07,340719.0,41028.0
Hooghly,2077987.0,1417417.0,977308.0,1488867.0,1641554.0,2394725.0,1191.48,753171.0,118923.0
Howrah,1768518.0,1213120.0,849342.0,1355655.0,1359164.0,2062462.0,986.68,703298.0,96104.0
Jalpaiguri,1330640.0,879367.0,652311.0,1103781.0,1019307.0,1531678.0,600.99,512371.0,104198.0
Jhargram,379606.0,261233.0,209733.0,252598.0,439451.0,470966.0,256.43,31515.0,25205.0
Kalimpong,25377.0,17275.0,14187.0,27375.0,18705.0,31462.0,20.94,12757.0,1482.0
Kolkata,762978.0,523704.0,420912.0,713378.0,7132.0,944616.0,394.98,937484.0,95265.0
Malda,2871080.0,1897108.0,1416896.0,1763788.0,2850318.0,3314004.0,1129.53,463686.0,292562.0
Murshidabad,3850538.0,2550729.0,1966861.0,3078336.0,3331326.0,4517590.0,1506.28,1186264.0,316126.0
Nadia,2536907.0,1765499.0,1311330.0,1987758.0,2077045.0,3076829.0,1247.45,999784.0,213868.0
Paschim Bardhaman,1227713.0,989345.0,514432.0,724691.0,873148.0,1503777.0,520.64,630629.0,98654.0
Purba Bardhaman,1882935.0,1324832.0,898455.0,1639435.0,1697843.0,2223287.0,899.88,525444.0,87020.0
Purulia,1727900.0,1108780.0,920426.0,1192192.0,1696033.0,2029206.0,1077.23,333173.0,148303.0
