district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_23_24,no_of_sponsored_application_in_fy_fy_23_24,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_fy_23_24,target_fy_fy_23_24
Alipurduar,159.85,1319.0,16.0,6.0,103.0,2.0,4.0,1.0,1.0,81.0,83.0,24.0,70.0,277.5,185.0,35.0
Bankura,461.78,2547.0,25.0,68.0,259.0,3.0,5.0,48.0,48.0,234.0,332.0,18.0,118.0,468.0,312.0,59.0
Birbhum,724.24,3931.0,299.0,281.0,765.0,28.0,28.0,108.0,111.0,367.0,355.0,48.0,374.0,1330.5,887.0,187.0
Cooch Behar,376.92,1818.0,25.0,114.0,279.0,6.0,6.0,31.0,31.0,191.0,195.0,42.0,252.0,660.0,440.0,126.0
Dakshin Dinajpur,262.46,1973.0,15.0,81.0,180.0,2.0,2.0,31.0,31.0,133.0,233.0,21.0,122.0,592.5,395.0,61.0
Darjeeling,483.48,2499.0,91.0,32.0,320.0,4.0,4.0,27.0,26.0,245.0,253.0,27.0,236.0,720.0,480.0,118.0
Hooghly,1207.72,6635.0,311.0,186.0,971.0,7.0,8.0,123.0,124.0,612.0,614.0,78.0,582.0,1684.5,1123.0,291.0
Howrah,252.6,2013.0,129.0,19.0,267.0,0.0,0.0,15.0,15.0,128.0,124.0,18.0,208.0,816.0,544.0,104.0
Jalpaiguri,444.02,1841.0,32.0,41.0,194.0,1.0,1.0,18.0,19.0,225.0,238.0,24.0,176.0,445.5,297.0,88.0
Jhargram,53.28,529.0,6.0,2.0,33.0,0.0,0.0,0.0,0.0,27.0,28.0,3.0,40.0,130.5,87.0,20.0
Kalimpong,23.68,192.0,0.0,5.0,13.0,0.0,0.0,2.0,2.0,12.0,12.0,15.0,34.0,120.0,80.0,17.0
Kolkata,404.55,1801.0,172.0,90.0,322.0,0.0,0.0,50.0,61.0,205.0,229.0,15.0,240.0,450.0,300.0,120.0
Malda,165.77,912.0,49.0,11.0,127.0,3.0,3.0,4.0,7.0,84.0,82.0,15.0,90.0,393.0,262.0,45.0
Murshidabad,1085.37,6030.0,89.0,96.0,689.0,4.0,7.0,75.0,78.0,550.0,568.0,72.0,388.0,1531.5,1021.0,194.0
Nadia,1225.48,6459.0,271.0,132.0,795.0,4.0,6.0,95.0,96.0,621.0,678.0,72.0,504.0,1740.0,1160.0,252.0
North 24 Parganas,2967.99,17095.0,498.0,444.0,2022.0,8.0,11.0,250.0,257.0,1504.0,1547.0,171.0,1292.0,4800.0,3200.0,646.0
Paschim Bardhaman,426.25,3184.0,280.0,113.0,506.0,1.0,3.0,9.0,9.0,216.0,210.0,27.0,200.0,903.0,602.0,100.0
Paschim Medinipur,781.47,4338.0,161.0,166.0,546.0,6.0,8.0,92.0,92.0,396.0,411.0,57.0,366.0,987.0,658.0,183.0
Purba Bardhaman,718.32,3751.0,65.0,111.0,354.0,6.0,7.0,66.0,65.0,364.0,347.0,36.0,334.0,753.0,502.0,167.0
Purba Medinipur,483.48,3417.0,243.0,127.0,493.0,11.0,12.0,110.0,112.0,245.0,244.0,57.0,232.0,549.0,366.0,116.0
Purulia,234.83,1250.0,16.0,43.0,127.0,2.0,2.0,29.0,29.0,119.0,119.0,12.0,114.0,285.0,190.0,57.0
South 24 Parganas,595.97,4075.0,223.0,102.0,572.0,3.0,4.0,69.0,69.0,302.0,379.0,39.0,320.0,1236.0,824.0,160.0
Uttar Dinajpur,471.64,2362.0,138.0,59.0,400.0,15.0,17.0,41.0,41.0,239.0,241.0,66.0,190.0,735.0,490.0,95.0
