district,d_i_s_b_u_rsed_no_0,p_e_n_ding_no_3,r_e_j_e_c_t_ed_no_3,sanctioned_no_1,total_application_submitted_no_7
Alipurduar,0.0,1.0,0.0,1.0,2.0
Birbhum,1.0,2.0,0.0,1.0,3.0
Cooch Behar,0.0,0.0,4.0,0.0,4.0
Darjeeling,2.0,0.0,2.0,3.0,5.0
Hooghly,5.0,5.0,8.0,7.0,20.0
Howrah,4.0,11.0,1.0,6.0,18.0
Jalpaiguri,1.0,5.0,9.0,1.0,15.0
Jhargram,1.0,12.0,11.0,1.0,24.0
Kalimpong,1.0,0.0,4.0,1.0,5.0
Kolkata,0.0,0.0,0.0,2.0,2.0
Malda,1.0,4.0,4.0,5.0,13.0
Murshidabad,1.0,17.0,18.0,4.0,39.0
Nadia,0.0,5.0,30.0,1.0,36.0
Purba Bardhaman,1.0,11.0,20.0,2.0,33.0
Purulia,0.0,6.0,19.0,6.0,31.0
