district,Village,No. of villages,Covered by Branch/BC (CBS enabled banking outlet),No of uncovered villages,No. of villages,Covered by Branch/BC (CBS enabled banking outlet),No of uncovered villages,No. of villages,Covered by Branch/BC (CBS enabled banking outlet),No of uncovered villages,No of covered villages,No of uncovered villages
Bishnupur,48,22,22,0,22,22,0,22,22,0,48,0
Ccpur,507,490,441,69,490,441,69,490,441,69,438,69
Chandel,267,266,222,65,266,222,65,266,222,65,202,65
Imphal East,141,95,95,0,95,95,0,95,95,0,141,0
Imphal West,107,67,67,0,67,67,0,67,67,0,107,0
Jiribam,50,48,48,0,48,48,0,48,48,0,50,0
Kakching,26,10,10,0,10,10,0,10,10,0,26,0
Kamjong,118,117,59,58,117,59,58,117,59,58,60,58
Kangpokpi,533,527,527,0,527,527,0,527,527,0,533,0
Noney,57,53,53,0,53,53,0,53,53,0,57,0
Pherzawl,89,87,27,60,87,27,60,87,27,60,29,60
Senapati,136,83,83,0,83,83,0,83,83,0,136,0
Tamenglong,117,114,114,0,114,114,0,114,114,0,117,0
Tengnoupal,163,162,158,5,162,158,5,162,158,5,158,5
Thoubal,61,29,29,0,29,29,0,29,29,0,61,0
Ukhrul,95,82,82,0,82,82,0,82,82,0,95,0
