district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,26.0,80.77,53.59,358.0,2405.0,2777.0,67.16,5182.0,5790.0,81.28,608.0
Birbhum,18.0,77.78,70.16,261.0,1568.0,3687.0,67.84,5255.0,5263.0,72.22,8.0
Cooch Behar,16.0,75.0,53.61,165.0,1284.0,1484.0,70.47,2768.0,2802.0,75.25,34.0
Dakshin Dinajpur,,,64.15,242.0,1703.0,3047.0,73.35,4750.0,4956.0,6757.0,206.0
Darjeeling,14.0,64.29,65.91,132.0,838.0,1620.0,71.61,2458.0,2502.0,72.29,44.0
Hooghly,24.0,83.33,87.07,312.0,701.0,4720.0,68.81,5421.0,5421.0,72.22,0.0
Howrah,29.0,82.76,27.22,689.0,10274.0,3843.0,84.07,14117.0,14780.0,83.09,663.0
Jalpaiguri,18.0,77.78,76.49,296.0,1108.0,3605.0,79.64,4713.0,4977.0,94.0,264.0
Malda,24.0,66.67,56.1,265.0,2308.0,2950.0,76.64,5258.0,5852.0,78.0,594.0
Nadia,25.0,64.0,48.18,253.0,2224.0,2068.0,68.78,4292.0,4366.0,79.8,74.0
North 24 Parganas,28.0,71.43,64.46,316.0,2358.0,4277.0,82.14,6635.0,6759.0,98.17,124.0
Purba Bardhaman,26.0,76.92,63.45,294.0,1900.0,3298.0,68.3,5198.0,5198.0,76.6,0.0
Purba Medinipur,25.0,88.0,60.11,280.0,2391.0,3603.0,74.58,5994.0,6044.0,81.84,50.0
Purulia,21.0,61.9,62.37,218.0,1080.0,1790.0,51.0,2870.0,2870.0,65.74,0.0
South 24 Parganas,25.0,84.0,74.76,355.0,1472.0,4359.0,64.32,5831.0,5959.0,78.72,128.0
Uttar Dinajpur,27.0,66.67,53.64,254.0,2084.0,2411.0,71.38,4495.0,4575.0,75.81,80.0
