district,Total Advance,Overall CD Ratio,cd_ratio_as_on_june,cd_ratio_as_on_june_2023_deposit
Alipurduar,4667.02,64.59,47.64,7225.72
Bankura,10302.5,53.7,49.25,19185.0
Birbhum,9505.17,47.54,49.99,19992.08
Cooch Behar,12873.24,80.41,79.49,16009.38
Dakshin Dinajpur,3638.65,63.74,61.85,5708.92
Darjeeling,14558.98,62.03,57.59,23471.81
Hooghly,20751.31,41.95,36.26,49472.26
Howrah,25192.88,47.2,46.26,53369.92
Jalpaiguri,7426.6,67.49,63.33,11003.74
Jhargram,1929.19,43.03,40.92,4482.98
Kalimpong,998.34,49.17,44.6,2030.49
Kolkata,277350.82,64.72,61.61,428545.42
Malda,8429.0,60.78,57.31,13868.61
Murshidabad,9530.9,55.77,44.02,17088.21
Nadia,15139.48,50.11,50.25,30212.5
Paschim Bardhaman,20619.51,46.96,42.58,43912.28
Paschim Medinipur,14294.3,48.4,46.95,29535.7
Purba Bardhaman,17340.76,55.17,51.28,31429.6
Purba Medinipur,14296.25,45.91,45.83,31140.54
Purulia,5583.76,48.88,48.61,11423.42
Uttar Dinajpur,6024.37,64.38,60.6,9357.52
