district,Total Advance,Overall CD Ratio,cd_ratio_as_on_december,cd_ratio_as_on_march,cd_ratio_as_on_march_2023_deposit
Alipurduar,4458.02,63.23,62.15,47.64,7049.99
Bankura,9779.5,52.4,51.82,49.25,18662.0
Birbhum,9417.58,47.59,48.31,49.99,19787.35
Cooch Behar,10653.24,79.37,75.6,79.49,13422.04
Dakshin Dinajpur,3323.72,62.23,62.67,61.85,5341.18
Darjeeling,15908.32,65.19,62.08,57.59,24402.99
Hooghly,22888.71,41.9,41.31,36.26,54626.72
Howrah,25531.64,49.33,47.79,46.26,51759.76
Jalpaiguri,6872.69,68.7,60.27,63.33,10003.74
Jhargram,1938.4,42.19,41.22,40.92,4594.33
Kalimpong,979.0,50.54,46.97,44.6,1937.04
Kolkata,263977.2,64.15,64.15,61.61,411470.54
Malda,8352.72,60.43,59.45,57.31,13822.78
Murshidabad,16676.14,52.27,49.02,44.02,31901.27
Nadia,15260.25,50.02,49.8,50.25,30508.23
Paschim Bardhaman,21397.75,46.31,41.1,42.58,46208.16
Paschim Medinipur,14280.12,49.32,,46.95,28951.84
Purba Bardhaman,17060.94,51.89,51.48,51.28,32878.24
Purba Medinipur,14757.84,47.39,47.37,45.83,31140.54
Purulia,5225.46,48.84,48.72,48.61,10698.31
Uttar Dinajpur,5675.95,61.17,60.99,60.6,9278.87
