district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,sl_no_1
Alipurduar,21.0,1123.0,43.0,21.0,621.0,154.0,19.0
Birbhum,29.0,2146.0,164.0,36.0,1723.0,197.0,11.0
Cooch Behar,201.0,9133.0,137.0,121.0,7159.0,653.0,15.0
Dakshin Dinajpur,67.0,1131.0,79.0,58.0,712.0,174.0,5.0
Darjeeling,83.0,2324.0,62.0,24.0,1436.0,758.0,16.0
Hooghly,87.0,3787.0,183.0,76.0,2004.0,1093.0,14.0
Howrah,112.0,5040.0,210.0,112.0,4218.0,365.0,13.0
Jalpaiguri,12.0,1850.0,16.0,12.0,1135.0,426.0,17.0
Malda,29.0,1513.0,176.0,5.0,1099.0,207.0,3.0
Murshidabad,486.0,16340.0,239.0,239.0,13265.0,1155.0,10.0
Nadia,76.0,1750.0,185.0,74.0,1110.0,360.0,8.0
Paschim Medinipur,375.0,11150.0,250.0,250.0,8320.0,2257.0,7.0
Purba Bardhaman,7.0,1004.0,333.0,4.0,924.0,45.0,12.0
Purba Medinipur,129.0,16666.0,290.0,85.0,926.0,201.0,6.0
Purulia,104.0,4128.0,108.0,82.0,2594.0,1072.0,2.0
Uttar Dinajpur,43.0,795.0,90.0,43.0,551.0,57.0,4.0
