district,Bank Name,No of operative CASA,No of Aadhaar seeded CASA,No of Authenticated CASA,No of operative CASA,No of Aadhaar seeded CASA,No of Authenticated CASA
Bishnupur,ALB,274667,195550,195465,274667,195550,195465
Chandel,BOB,39744,21886,19334,39744,21886,19334
Churachandpur,BOI,239637,151493,122822,239637,151493,122822
Imphal East,BOM,439655,296477,273336,439655,296477,273336
Imphal West,CAN,802366,529966,514700,802366,529966,514700
Jiribam,CBI,49528,16716,16716,49528,16716,16716
Kakching,IND,161343,114326,109147,161343,114326,109147
Kamjong,IOB,4682,1328,1786,4682,1328,1786
Kangpokpi,PNB,63431,46372,45969,63431,46372,45969
Noney,PSB,17473,10905,10561,17473,10905,10561
Pherzawl,SBI,771,283,525,771,283,525
Senapati,SYN,143311,43948,49650,143311,43948,49650
Tamenglong,UBI,49890,24575,20378,49890,24575,20378
Tengnoupal,UCO,41181,22708,23285,41181,22708,23285
Thoubal,UNI,303272,200667,181249,303272,200667,181249
Ukhrul,Total,115006,53349,51038,115006,53349,51038
