district,amount,no_of_cases_pending,no_of_sponsored_application_in_fy_24_25,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_24_25,target_amount_of_sep_i_loan_to_be_disbursed_fy_24_25,target_fy_24_25,target_fy_fy_24_25
Alipurduar,0.0,15.0,16.0,0.0,0.0,0.0,0.0,12.5,60.0,8.0,30.0
Bankura,2.22,24.0,26.0,0.0,0.0,2.0,2.0,36.0,132.0,9.0,66.0
Birbhum,31.06,41.0,139.0,5.0,6.0,28.0,29.0,76.0,370.0,18.0,185.0
Cooch Behar,15.53,26.0,74.0,2.0,2.0,14.0,14.0,26.0,228.0,11.0,114.0
Dakshin Dinajpur,16.64,11.0,31.0,1.0,1.0,15.0,15.0,24.0,100.0,7.0,50.0
Darjeeling,7.76,0.0,8.0,2.0,2.0,7.0,7.0,32.0,190.0,10.0,95.0
Hooghly,62.12,41.0,126.0,3.0,4.0,56.0,57.0,60.5,576.0,25.0,288.0
Howrah,0.0,13.0,18.0,0.0,0.0,0.0,0.0,28.0,170.0,8.0,85.0
Jalpaiguri,2.22,6.0,8.0,2.0,2.0,2.0,2.0,16.5,156.0,7.0,78.0
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,2.0,15.0
Kalimpong,2.22,0.0,2.0,0.0,0.0,2.0,2.0,25.0,40.0,5.0,20.0
Kolkata,0.0,11.0,13.0,0.0,0.0,0.0,0.0,50.0,238.0,5.0,119.0
Malda,7.76,2.0,9.0,1.0,1.0,7.0,7.0,18.0,92.0,6.0,46.0
Murshidabad,65.44,4.0,41.0,0.0,0.0,59.0,61.0,103.5,406.0,24.0,203.0
Nadia,51.02,0.0,55.0,2.0,2.0,46.0,50.0,66.5,492.0,23.0,246.0
North 24 Parganas,131.99,56.0,209.0,4.0,8.0,119.0,117.0,168.5,1200.0,58.0,600.0
Paschim Bardhaman,3.33,45.0,68.0,1.0,4.0,3.0,2.0,16.8,200.0,9.0,100.0
Paschim Medinipur,53.24,11.0,64.0,3.0,5.0,48.0,48.0,48.5,314.0,19.0,157.0
Purba Bardhaman,7.76,24.0,50.0,2.0,2.0,7.0,8.0,40.5,276.0,10.0,138.0
Purba Medinipur,63.22,15.0,75.0,10.0,10.0,57.0,56.0,39.0,252.0,15.0,126.0
Purulia,18.86,9.0,26.0,0.0,0.0,17.0,17.0,9.0,120.0,4.0,60.0
South 24 Parganas,13.31,13.0,27.0,1.0,1.0,12.0,13.0,33.0,270.0,10.0,135.0
Uttar Dinajpur,6.66,6.0,15.0,1.0,1.0,6.0,6.0,47.5,192.0,26.0,96.0
