District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bajali,32,99,547.18,96,483.47,258,787.79,89,147.26,18.69
Baksa,35,56,202.82,54,135.02,718,1195.01,506,708.32,59.27
Barpeta,92,315,1536.29,332,1238.25,1428,3290.38,845,1610.28,48.94
Biswanath,58,46,274.62,83,250.77,291,675.11,122,214.61,31.79
Bongaigaon,64,73,525.15,83,292.98,596,1120.75,308,469.55,41.90
Cachar,167,248,1558.72,266,1060.23,1089,2897.32,497,1021.06,35.24
Charaideo,36,5,33.43,6,21.37,174,398.85,110,249.69,62.60
Chirang,38,83,358.14,89,239.73,1241,1528.22,1011,1105.10,72.31
Darrang,71,64,244.55,74,223.52,616,1234.10,374,619.84,50.23
Dhemaji,47,154,774.88,191,557.95,935,2437.27,497,1132.39,46.46
Dhubri,89,124,548.71,137,302.03,1478,2341.01,959,1412.28,60.33
Dibrugarh,187,227,1324.21,296,987.04,1280,3709.24,642,1480.77,39.92
Dima Hasao,32,40,186.23,40,119.73,283,586.23,104,220.70,37.65
Goalpara,73,73,273.86,67,181.82,737,1025.81,463,591.95,57.71
Golaghat,124,65,328.70,112,244.02,676,1551.16,405,958.30,61.78
Hailakandi,46,218,1148.96,227,901.82,657,1740.53,271,566.68,32.56
Hojai,60,63,280.19,85,263.88,350,908.81,88,163.71,18.01
Jorhat,140,88,479.96,83,289.95,528,1255.68,284,634.58,50.54
Kamrup Metro,179,346,1302.24,349,789.52,1370,2857.65,685,1177.17,41.19
Karbi Anglong,66,63,240.73,65,131.79,438,625.36,252,291.15,46.56
Karimganj,92,101,539.66,107,344.04,598,1417.37,252,508.19,35.85
Kokrajhar,57,144,467.31,148,265.16,1678,2172.03,1329,1630.97,75.09
Lakhimpur,92,177,1276.77,189,877.63,1069,3077.74,699,1654.69,53.76
Majuli,17,20,77.66,22,69.46,188,368.51,72,162.66,44.14
Morigaon,68,71,622.42,73,202.67,754,1363.75,471,670.98,49.20
Nagaon,156,181,1057.91,195,877.88,1150,3062.41,629,1281.98,41.86
Nalbari,88,127,723.08,111,405.05,916,2033.24,494,990.25,48.70
Sivasagar,103,146,910.60,155,696.77,758,2557.12,289,725.66,28.38
Sonitpur,133,236,1308.67,271,1077.34,1099,2688.48,545,1067.43,39.70
South Salmara,15,14,50.06,11,21.43,413,514.73,317,349.37,67.87
Tamulpur,26,12,58.84,9,29.06,213,392.79,150,240.24,61.16
Tinsukia,153,277,1722.02,299,1144.25,1254,3682.88,687,1623.81,44.09
Udalguri,51,20,150.96,18,58.72,1445,2304.43,1219,1893.33,82.16
West Karbi Anglong,22,10,45.41,8,25.77,15,49.06,3,14.07,28.68
