district,Total Branch,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Bajali,32,0,0.00,11,31.85,38,108.17,0,0.00,16,5.85,"1,964",517.69,"2,029",663.56
Baksa,35,0,0.00,6,12.00,43,64.73,0,0.00,17,4.49,655,219.07,721,300.29
Barpeta,92,0,0.00,39,116.42,59,239.22,0,0.00,314,151.26,"12,697","3,408.27","13,109","3,915.17"
Biswanath,58,0,0.00,16,33.06,41,98.55,0,0.00,0,0.00,"6,835","1,835.14","6,892","1,966.75"
Bongaigaon,64,0,0.00,14,22.83,28,121.65,0,0.00,68,33.75,"6,348","1,881.07","6,458","2,059.30"
Cachar,167,0,0.00,63,127.85,54,310.38,0,0.00,12,2.49,"28,051","10,918.89","28,180","11,359.61"
Charaideo,36,0,0.00,11,31.47,4,24.42,0,0.00,31,13.55,943,151.71,989,221.15
Chirang,38,0,0.00,10,23.07,5,11.61,0,0.00,97,20.99,"2,502",656.84,"2,614",712.51
Darrang,71,0,0.00,19,37.53,80,293.81,0,0.00,27,13.36,"9,692","2,206.74","9,818","2,551.44"
Dhemaji,47,0,0.00,13,28.76,22,113.71,0,0.00,13,2.78,"2,011",420.49,"2,059",565.74
Dhubri,89,0,0.00,18,55.75,42,117.38,0,0.00,193,115.13,"20,202","6,903.20","20,455","7,191.46"
Dibrugarh,187,0,0.00,57,208.02,72,543.73,0,0.00,8,2.77,"6,137","1,238.27","6,274","1,992.79"
Dima Hasao,32,0,0.00,1,2.81,10,13.06,0,0.00,0,0.00,2,2.69,13,18.56
Goalpara,73,0,0.00,10,30.95,41,118.47,1,0.06,345,225.04,"7,166","2,101.12","7,563","2,475.64"
Golaghat,124,0,0.00,31,57.70,25,124.47,0,0.00,0,0.00,"6,352","1,194.15","6,408","1,376.32"
Hailakandi,46,0,0.00,14,19.58,34,199.35,0,0.00,19,10.36,"4,715","2,195.77","4,782","2,425.06"
Hojai,60,0,0.00,11,48.96,10,59.79,0,0.00,0,0.00,"4,895","1,364.78","4,916","1,473.53"
Jorhat,140,0,0.00,40,125.74,94,516.69,0,0.00,0,0.00,"8,275","1,341.72","8,409","1,984.15"
Kamrup Metro,179,0,0.00,49,105.95,172,411.28,0,0.00,10,4.85,"27,982","7,136.97","28,213","7,659.05"
Karbi Anglong,66,0,0.00,16,37.84,36,127.65,0,0.00,0,0.00,667,152.39,719,317.88
Karimganj,92,0,0.00,13,26.73,21,51.11,0,0.00,6,1.96,"13,628","6,017.35","13,668","6,097.15"
Kokrajhar,57,0,0.00,10,10.92,17,80.74,0,0.00,14,7.16,"3,178","1,018.48","3,219","1,117.30"
Lakhimpur,92,0,0.00,25,43.94,33,154.09,0,0.00,57,24.21,"9,148","2,307.08","9,263","2,529.32"
Majuli,17,0,0.00,5,15.66,1,4.10,0,0.00,0,0.00,536,8.57,542,28.33
Morigaon,68,0,0.00,15,47.71,51,157.85,0,0.00,13,5.81,"5,018","1,536.81","5,097","1,748.18"
Nagaon,156,0,0.00,32,75.73,100,378.59,0,0.00,1,0.64,"20,344","5,792.36","20,477","6,247.32"
Nalbari,88,0,0.00,45,111.32,138,368.64,0,0.00,6,0.59,"11,518","2,692.58","11,707","3,173.13"
Sivasagar,103,0,0.00,21,39.70,43,301.64,0,0.00,5,2.02,"5,000","1,051.98","5,069","1,395.34"
Sonitpur,133,0,0.00,64,141.42,122,403.50,0,0.00,1,0.44,"11,953","3,571.19","12,140","4,116.55"
South Salmara,15,0,0.00,5,23.41,13,45.59,0,0.00,6,4.34,194,239.31,218,312.65
Tamulpur,26,0,0.00,4,16.15,24,89.26,0,0.00,9,1.75,998,259.46,"1,035",366.62
Tinsukia,153,0,0.00,50,80.29,39,256.52,1,0.00,10,3.14,"5,610","1,107.12","5,710","1,447.07"
Udalguri,51,0,0.00,22,58.32,26,106.74,0,0.00,1,0.26,"5,347","2,000.58","5,396","2,165.90"
West Karbi Anglong,22,0,0.00,1,3.99,13,32.80,0,0.00,5,0.39,1,3.03,20,40.21
