District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Bajali,32,171,135.21,0,0.00,158,106.55,2766,1836.43,14,7.22,28,15.74,0,0.00,0,0.00,1178,1548.69,4315,3649.84
Baksa,35,85,34.96,0,0.00,33,33.39,325,180.32,36,27.62,26,33.10,0,0.00,0,0.00,450,1300.99,955,1610.38
Barpeta,92,546,462.95,0,0.00,816,609.97,5159,3521.78,175,82.07,220,139.86,0,0.00,0,0.00,2184,6638.13,9100,11454.76
Biswanath,58,119,143.28,0,0.00,9,7.37,266,135.32,40,20.48,7,5.35,0,0.00,0,0.00,845,1804.40,1286,2116.20
Bongaigaon,64,54,31.11,0,0.00,1171,631.97,1135,801.35,187,162.69,67,23.85,0,0.00,1,6.50,1063,1962.91,3678,3620.38
Cachar,167,363,197.61,0,0.00,634,885.75,2009,1145.35,222,670.98,111,192.57,0,0.00,0,0.00,3089,5432.59,6428,8524.85
Charaideo,36,60,26.80,0,0.00,48,47.29,1,0,87,140.43,2,7,0,0.00,0,0.00,116,340.02,314,561.54
Chirang,38,131,81.99,0,0.00,9,7.58,2,6.28,48,72.29,270,89.42,0,0.00,0,0.00,518,1382.96,978,1640.52
Darrang,71,316,170.44,0,0.00,430,695.75,5538,3282.83,116,153.84,196,250.31,0,0.00,0,0.00,1571,4291.21,8167,8844.38
Dhemaji,47,130,54.33,0,0.00,42,20.98,2096,1501.54,176,139.92,6,4.02,0,0.00,0,0.00,1044,3181.28,3494,4902.07
Dhubri,89,174,24.91,0,0.00,196,102.54,991,370.17,99,57.75,77,27.24,1,41.26,0,0.00,1590,3061.13,3128,3685.00
Dibrugarh,187,213,82.84,0,0.00,428,445.94,3678,2134.32,132,111.64,33,29.1,0,0.00,0,0.00,2044,13925.16,6528,16729.00
Dima Hasao,32,23,32.20,0,0.00,2,3.20,2,4.90,2,3,1,1.03,0,0.00,0,0.00,68,172.92,98,217.25
Goalpara,73,268,54.76,0,0.00,167,76.27,563,441.21,277,207.26,1097,356.85,0,0.00,0,0.00,821,2285.69,3193,3422.04
Golaghat,124,333,204.83,0,0.00,169,147.08,3099,2096.69,52,178.77,12,29.66,0,0.00,0,0.00,2764,6124.19,6429,8781.22
Hailakandi,46,98,91.67,0,0.00,141,174.49,2,6.00,106,206.47,15,16.39,0,0.00,0,0.00,972,1611.64,1334,2106.66
Hojai,60,78,47.37,0,0.00,505,448.68,1102,520.26,47,39.81,178,200.68,0,0.00,0,0.00,1119,2320.64,3029,3577.44
Jorhat,140,135,51.06,0,0.00,695,662.71,2137,1250.92,86,123.54,26,43.97,0,0.00,2,5.20,2027,7449.93,5108,9587.33
Kamrup Metro,179,631,452.37,0,0.00,495,476.72,6122,3478.82,587,621.82,243,280.79,0,0.00,2,5.01,4472,9721.38,12552,15036.91
Karbi Anglong,66,88,49.95,0,0.00,66,80.89,516,283.28,29,36.39,21,28.42,0,0.00,0,0.00,261,590.41,981,1069.34
Karimganj,92,134,109.50,0,0.00,184,223.20,230,76.54,32,73.96,59,228.64,0,0.00,0,0.00,709,1333.81,1348,2045.65
Kokrajhar,57,144,25.64,0,0.00,388,302.99,208,65.63,270,232.80,37,83.79,0,0.00,0,0.00,958,2587.31,2005,3298.16
Lakhimpur,92,333,461.98,0,0.00,202,296.99,3356,2455.54,136,187.93,50,40.90,1,3.20,0,0.00,1808,5226.34,5886,8672.88
Majuli,17,13,3.00,0,0.00,0,0,0,0,4,19.39,0,0,0,0.00,0,0.00,20,34.36,37,56.75
Morigaon,68,490,244.23,0,0.00,450,462.69,1728,1213.45,95,101.06,121,265.9,0,0.00,0,0.00,1492,3599.06,4376,5886.39
Nagaon,156,330,233.67,0,0.00,921,841.99,7424,5258.51,100,138.38,30,82.85,0,0.00,0,0.00,2746,4160.30,11551,10715.70
Nalbari,88,483,195.45,0,0.00,324,328.68,4362,2986.51,455,313.98,38,55.57,0,0.00,2,6.69,1379,5275.94,7043,9162.82
Sivasagar,103,174,79.22,1,1.56,5395,2663.01,1959,1067.47,951,837.92,21,25.82,0,0.00,1,4.70,3684,4790.42,12186,9470.12
Sonitpur,133,691,404.11,0,0.00,217,226.15,4886,2798.08,294,226.70,24,14.28,0,0.00,1,0.00,1757,4325.50,7870,7994.82
South Salmara,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,3,1.80,3,1.80
Tamulpur,26,20,9.44,0,0.00,9,5.2,0,0,13,19.33,1,0.33,0,0.00,0,0.00,36,184.26,79,218.56
Tinsukia,153,459,412.40,0,0.00,856,1260.68,3519,2042.87,257,492.38,18,22.38,0,0.00,2,50.25,1674,13469.43,6785,17750.39
Udalguri,51,298,87.15,0,0.00,5,11.34,5,1.8,58,33.13,10,32.86,0,0.00,0,0.00,215,428.39,591,594.67
West Karbi Anglong,22,2,3.20,0,0.00,7,25.25,0,0,1,5.11,0,0,0,0.00,0,0.00,26,90.62,36,124.18
