district,Total Br(s),DEPOSITs Rural,Semi- Urban,Urban,Total,ADVANCES Rural,Semi- Urban,Urban,Total,CD RATIOs Rural,Semi- Urban,Urban,Overall
Aizawl,108,42959.07,,41.36,443946.55,19638.32,,41.36,443946.55,45.71,,41.36,41.54
Champhai,17,5520.50,71.07,,32344.90,3490.39,71.07,,32344.90,63.23,71.07,,70.42
Hnahthial,5,15130.50,54.16,,8128.04,7395.53,54.16,,8128.04,48.88,54.16,,49.32
Khawzawl,8,7022.09,68.26,,11392.40,4976.27,68.26,,11392.40,70.87,68.26,,69.38
Kolasib,20,11980.55,69.43,,34823.82,8156.40,69.43,,34823.82,68.08,69.43,,69.12
Lawngtlai,12,11152.84,101.25,,44662.77,13061.51,101.25,,44662.77,117.11,101.25,,105.48
Lunglei,21,9824.23,65.99,,64382.44,5451.72,65.99,,64382.44,55.49,65.99,,65.12
Mamit,13,25430.86,90.11,,21145.72,18343.35,90.11,,21145.72,72.13,90.11,,74.12
Saiha,7,3083.22,91.07,,30619.93,2906.07,91.07,,30619.93,94.25,91.07,,91.40
Saitual,10,7161.62,54.95,,11725.33,5607.00,54.95,,11725.33,78.29,54.95,,64.14
Serchhip,15,20305.58,67.47,,29049.28,12259.62,67.47,,29049.28,60.38,67.47,,64.36
