District,Block Name,Total Branch,KCC Issued during qtr. (incl. Renewal),Disb. Amt. duringqtr,Total Outstanding,No. of Rupay Card Issued,KCC Card Activated,KCC for Animal Husbandry Issued during qtr. (incl. Renewal),AH Card Activated,KCC for Fisheries Issued during qtr. (incl. Renewal),Fishery Card Activated
Aizawl,Tlangnuam,95,5602,0.00,0,0,3030,494,326,0,0
Champhai,Khawbung,3,48,0.00,3,0,30,22,22,0,0
Hnahthial,Hnahthial,5,153,22.52,19,1,121,170,44,18,0
Khawzawl,Khawzawl,8,435,0.00,3,0,300,172,118,0,0
Kolasib,N. Thingdawl,7,133,0.00,0,0,112,114,103,0,0
Lawngtlai,Sangau,2,31,0.00,0,0,34,30,33,0,0
Lunglei,W. Bunghmun,2,23,0.00,0,0,33,1,26,0,0
Mamit,Zawlnuam,8,220,0.00,4,0,127,136,59,4,0
Saiha,Tuipang,1,45,0.00,0,0,24,23,19,0,0
Saitual,Phullen,6,312,0.00,3,0,167,107,88,0,0
Serchhip,Serchhip,12,399,4.30,11,0,345,131,156,5,0
