District,Bank Name,Number ofoperative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Bishnupur,BOB,270448,197877,207766
Chandel,BOI,34450,23590,20508
Churachandpur,BOM,258991,182767,117309
Imphal East,CAN,418191,312114,279835
Imphal West,CBI,854394,577757,475686
Jiribam,IND,42371,31612,7201
Kakching,IOB,173767,123636,106815
Kamjong,PNB,5553,3042,2348
Kangpokpi,PSB,109631,58752,53466
Noney,SBI,25340,17437,15136
Pherzawl,UCO,16,16,16
Senapati,UNI,126877,67341,47421
Tamenglong,Total,41387,34651,2843
Tengnoupal,AXIS,43518,30224,24222
Thoubal,BAND,317984,213565,177358
Ukhrul,HDFC,112471,83717,48282
