district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Bajali,35,62,57.22,0,0.00,43,53.55,283,621.06,40,28.98,33,27.60,0,0.00,0,0.00,577,956.90,"1,038","1,745.31"
Baksa,33,37,24.87,0,0.00,28,50.35,96,395.31,117,79.57,9,9.17,0,0.00,0,0.00,211,"1,144.49",498,"1,703.76"
Barpeta,95,147,48.45,0,0.00,288,"1,199.75",443,"1,909.73",163,112.66,173,154.68,0,0.00,0,0.00,672,"5,983.25","1,886","9,408.52"
Biswanath,63,9,5.34,0,0.00,13,17.33,8,30.97,419,299.18,55,53.60,0,0.00,0,0.00,163,"2,245.67",667,"2,652.09"
Bongaigaon,68,13,3.11,0,0.00,73,54.01,168,679.81,143,109.46,27,21.78,0,0.00,0,0.00,713,"2,164.37","1,137","3,032.54"
Cachar,172,30,16.29,0,0.00,70,79.31,245,945.33,606,459.06,2145,1636.38,0,0.00,0,0.00,"1,269","4,506.96","4,365","7,643.33"
Charaideo,36,21,12.96,0,0.00,5,3.45,3,3.23,209,148.84,3,4.7,0,0.00,0,0.00,81,"1,049.29",322,"1,222.47"
Chirang,36,4,0.23,0,0.00,10,10.43,1,4.19,141,87.50,32,27.67,0,0.00,0,0.00,378,"1,496.09",566,"1,626.11"
Darrang,70,100,42.31,0,0.00,121,194.50,554,"2,222.13",661,478.11,94,94.21,3,253.00,0,0.00,525,"5,464.98","2,058","8,749.24"
Dhemaji,51,19,14.36,0,0.00,4,3.39,150,632.84,273,167.78,15,11.81,0,0.00,0,0.00,234,"2,574.13",695,"3,404.31"
Dhubri,90,12,3.13,0,0.00,28,21.98,65,221.35,340,201.18,86,76.39,0,0.00,0,0.00,619,"2,399.79","1,150","2,923.82"
Dibrugarh,188,76,119.11,1,36.60,51,123.58,280,"1,141.69","1,346",819.90,77,112.35,0,0.00,0,0.00,723,"18,930.60","2,554","21,283.83"
Dima Hasao,33,9,6.94,0,0.00,0,-,1,90.00,1,1.08,-,-,0,0.00,0,0.00,41,253.99,52,352.01
Goalpara,73,5,3.56,0,0.00,4,3.37,102,424.82,115,93,48,39.86,0,0.00,0,0.00,380,"3,294.36",654,"3,858.97"
Golaghat,127,69,45.14,0,0.00,28,54.95,195,824.17,"1,294",808.96,54,57.30,0,0.00,0,0.00,"1,030","6,237.66","2,670","8,028.18"
Hailakandi,47,53,31.42,0,0.00,70,77.55,1,-,120,93.20,130,91.88,0,0.00,0,0.00,176,466.35,550,760.40
Hojai,66,20,10.44,0,0.00,39,80.81,91,422.08,84,71.30,37,30.54,0,0.00,0,0.00,525,"1,856.14",796,"2,471.31"
Jorhat,143,29,6.09,0,0.00,106,223.87,119,480.27,"1,354",887.11,122,102.64,0,0.00,0,0.00,950,"10,454.87","2,680","12,154.85"
Kamrup Metro,183,197,294.35,0,0.00,208,323.50,204,900.28,742,596.41,209,194.75,0,0.00,0,0.00,"3,604","8,360.39","5,164","10,669.68"
Karbi Anglong,63,19,16.63,0,0.00,3,0.83,22,86.62,37,26.76,14,15.52,0,0.00,0,0.00,109,"1,181.58",204,"1,327.94"
Kokrajhar,60,48,44.85,0,0.00,18,9.87,21,81.50,62,41.97,53,88.71,0,0.00,0,0.00,542,"2,462.28",744,"2,729.18"
Lakhimpur,91,85,104.32,0,0.00,68,180.15,401,"1,636.73",597,473.48,169,166.11,0,0.00,0,0.00,551,"4,160.52","1,871","6,721.31"
Majuli,16,13,0.91,0,0.00,0,-,-,-,3,0.21,9,3.69,0,0.00,0,0.00,8,978.93,33,983.74
Morigaon,70,384,215.84,0,0.00,285,363.7,149,627.89,294,195.18,471,407.01,0,0.00,0,0.00,"1,035","2,853.70","2,618","4,663.32"
Nagaon,157,155,159.66,0,0.00,281,505.61,718,3287.9,515,394.73,1367,1275.81,0,0.00,0,0.00,"1,908","5,037.33","4,944","10,661.04"
Nalbari,84,133,53.59,0,0.00,115,186.39,168,767.95,359,244.05,276,222.35,0,0.00,4,4.41,591,"4,991.28","1,646","6,470.02"
Sivasagar,107,67,42.04,0,0.00,37,114.31,156,599.21,"1,182",899.73,91,89.40,0,0.00,0,0.00,704,"6,934.54","2,237","8,679.23"
Sonitpur,134,103,132.50,0,0.00,33,76.08,428,"1,804.98",293,306.05,101,92.27,0,0.00,0,0.00,584,"8,837.99","1,542","11,249.87"
South Salmara,16,0,-,0,0.00,0,-,-,-,-,-,-,-,0,0.00,0,0.00,8,409.65,8,409.65
Tamulpur,21,0,0,0,0.00,2,1.47,89,392.99,40,34.61,13,17.02,0,0.00,0,0.00,74,382.44,218,828.53
Tinsukia,150,214,111.99,0,0.00,292,773.14,256,"1,020.94",654,646.83,46,43.94,0,0.00,0,0.00,596,"19,792.23","2,058","22,389.07"
Udalguri,56,2,0.12,0,0.00,10,4.26,2,3.05,46,40.84,5,5.63,0,0.00,0,0.00,108,"1,015.65",173,"1,069.55"
West Karbi Anglong,21,4,3.16,0,0.00,12,40.77,0,0,1,0.02,0,0,0,0.00,0,0.00,12,26.75,29,70.70
