District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under PMFBY,Kharif Amount insured under PMFBY,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under PMFBY,Rabi Amount insured under PMFBY,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,35,"1,846.93",2306,1705.94,0,0.00,0,0.00,0,0.00
Baksa,33,651.47,1961,1301.09,0,0.00,0,0.00,0,0.00
Barpeta,95,"4,777.82",10883,6403.51,0,0.00,0,0.00,0,0.00
Biswanath,63,"1,910.00",1312,813.44,0,0.00,0,0.00,0,0.00
Bongaigaon,68,"4,426.42",2763,1598.01,30,0.06,0,0.00,0,0.00
Cachar,172,"2,690.59",6019,1850.8,11,0.02,0,0.00,0,0.00
Charaideo,36,875.58,1649,1168.04,0,0.00,0,0.00,0,0.00
Chirang,36,"1,558.49",2737,1706.56,0,0.00,0,0.00,0,0.00
Darrang,70,"4,381.98",3213,1644.09,21,0.02,0,0.00,0,0.00
Dhemaji,51,"2,537.37",3174,1736.58,0,0.00,0,0.00,0,0.00
Dhubri,90,"2,336.97",2761,1834.81,0,0.00,0,0.00,0,0.00
Dibrugarh,188,"7,811.39",16324,8961.14,0,0.00,0,0.00,0,0.00
Dima Hasao,33,48.25,105,63.17,0,0.00,0,0.00,0,0.00
Goalpara,73,"2,945.58",3269,1990.89,0,0.00,0,0.00,0,0.00
Golaghat,127,"3,528.49",6278,2664.13,0,0.00,0,0.00,0,0.00
Hailakandi,47,967.57,1259,577.31,0,0.00,0,0.00,0,0.00
Hojai,66,"1,540.95",6025,1089.61,0,0.00,0,0.00,0,0.00
Jorhat,143,"3,691.05",9042,3323.63,0,0.00,0,0.00,0,0.00
Kamrup Metro,183,"4,372.58",3875,1684.19,24,0.02,0,0.00,0,0.00
Karbi Anglong,63,"1,007.46",4183,2764.43,0,0.00,0,0.00,0,0.00
Kokrajhar,60,"4,070.60",3659,2154.9,8,0.01,0,0.00,0,0.00
Lakhimpur,91,"5,331.40",10456,5362.19,25,0.03,0,0.00,0,0.00
Majuli,16,256.95,364,257.75,0,0.00,0,0.00,0,0.00
Morigaon,70,"2,214.74","4,959",2256.6,67,0.07,0,0.00,0,0.00
Nagaon,157,"8,291.98",17684,9205.66,0,0.00,0,0.00,0,0.00
Nalbari,84,"2,863.89",3660,2337.32,0,0.00,0,0.00,0,0.00
Sivasagar,107,"2,735.65",7445,2616.26,0,0.00,0,0.00,0,0.00
Sonitpur,134,"2,975.34",3815,2083.75,0,0.00,0,0.00,0,0.00
South Salmara,16,19.22,126,88.68,0,0.00,0,0.00,0,0.00
Tamulpur,21,586.50,466,344.92,0,0.00,0,0.00,0,0.00
Tinsukia,150,"7,392.26",9558,4906.83,0,0.00,0,0.00,0,0.00
Udalguri,56,"2,403.49",4605,2798.42,0,0.00,0,0.00,0,0.00
West Karbi Anglong,21,614.79,881,595.97,0,0.00,0,0.00,0,0.00
