District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt
Bajali,34,213,378.50,0,0.00,131,176.04,506,855.74,71,38.82,110,81.60,0,0.00,0,0.00,588,"1,475.82","1,619","3,006.52"
Baksa,35,52,44.02,0,0.00,36,57.65,36,124.63,163,85.28,64,41.90,0,0.00,0,0.00,255,"1,387.02",606,"1,740.50"
Barpeta,93,346,231.22,0,0.00,750,532.94,"1,068","3,983.32",497,357.56,527,326.86,0,0.00,0,0.00,"1,279","9,854.29","4,467","15,286.19"
Biswanath,62,47,50.81,0,0.00,8,36.49,46,163.35,606,359.13,142,80.75,0,0.00,0,0.00,504,"4,681.89","1,353","5,372.42"
Bongaigaon,66,40,48.51,0,0.00,373,287.13,352,"1,350.54",457,675.96,88,76.77,0,0.00,1,4.75,"1,233","3,045.09","2,544","5,488.75"
Cachar,169,139,121.74,0,0.00,648,654.34,"1,038",2283.18,691,644.50,2716,1671.94,0,0.00,0,0.00,"1,421","5,126.17","6,653","10,501.87"
Charaideo,37,49,22.15,0,0.00,17,27.30,1,0.15,548,280.67,2,1.45,0,0.00,0,0.00,83,"1,526.61",700,"1,858.33"
Chirang,40,22,24.93,0,0.00,35,15.84,1,1.08,179,144.66,250,107.96,0,0.00,0,0.00,422,"1,957.58",909,"2,252.05"
Darrang,70,134,38.96,0,0.00,340,587.39,925,"3,010.06",901,562.26,265,201.42,1,75.02,0,0.00,"1,137","6,747.07","3,703","11,222.18"
Dhemaji,50,85,88.91,0,0.00,19,22.53,307,"1,246.47",496,351.22,45,23.87,0,0.00,0,0.00,725,"4,239.94","1,677","5,972.94"
Dhubri,89,23,8.58,0,0.00,314,159.40,209,440.46,409,218.94,232,138.65,1,41.39,0,0.00,"1,317","5,817.63","2,505","6,825.05"
Dibrugarh,187,112,174.11,1,4.04,433,514.53,588,"1,922.58","3,838","1,849.63",209,179.8,0,0.00,2,44.05,"1,278","22,595.08","6,461","27,283.82"
Dima Hasao,33,8,11.23,0,0.00,10,16.26,12,95.32,0,0,1,1.00,0,0.00,0,0.00,24,117.84,55,241.65
Goalpara,72,37,21.74,0,0.00,67,41.13,217,670.45,399,329.18,432,190.85,0,0.00,0,0.00,795,"5,216.75","1,947","6,470.10"
Golaghat,126,171,97.27,0,0.00,55,106.83,464,"1,673.21","2,151","1,062.14",220,159.75,0,0.00,1,49.32,"1,882","7,927.40","4,944","11,075.92"
Hailakandi,48,120,131.48,0,0.00,208,262.80,95,159.44,170,196.63,234,126.48,0,0.00,0,0.00,529,"1,327.20","1,356","2,204.03"
Hojai,65,60,45.50,0,0.00,453,486.92,193,725.65,199,144.99,61,32.98,0,0.00,1,3.00,683,"2,601.29","1,650","4,040.33"
Jorhat,141,58,58.35,0,0.00,457,773.27,262,937.87,"2,440","1,246.44",325,244.45,0,0.00,1,3.03,"1,458","10,916.86","5,001","14,180.27"
Kamrup Metro,175,443,492.50,0,0.00,1122,898.10,514,"1,840.13","1,321","1,121.44",682,532.75,0,0.00,1,0.23,"5,981","13,456.87","10,064","18,342.02"
Karbi Anglong,65,29,41.79,0,0.00,80,148.57,156,314.42,82,73.43,28,28.11,0,0.00,0,0.00,106,"1,613.00",481,"2,219.32"
Kokrajhar,58,53,34.83,0,0.00,213,146.91,55,216.52,307,251.82,156,180.34,0,0.00,0,0.00,794,"4,313.95","1,578","5,144.37"
Lakhimpur,91,483,994.58,0,0.00,137,237.48,574,"2,360.26",919,667.82,356,249.61,0,0.00,1,0.00,"1,045","6,446.32","3,515","10,956.07"
Majuli,16,16,2.83,0,0.00,1,1.00,-,-,5,10.17,4,2.87,0,0.00,0,0.00,18,813.16,44,830.03
Morigaon,70,420,"1,203.99",0,0.00,317,261.98,351,1463.33,604,337.1,709,486.37,0,0.00,0,0.00,"1,471","4,429.82","3,872","8,182.59"
Nagaon,153,171,108.48,0,0.00,723,830.02,1519,5814.11,947,606.95,1389,1168.2,0,0.00,0,0.00,"2,069","5,489.28","6,818","14,017.04"
Nalbari,86,272,258.84,0,0.00,228,362.00,567,"2,361.42",633,533.11,603,404.43,0,0.00,4,4.41,"1,498","7,581.73","3,805","11,505.94"
Sivasagar,102,143,115.34,0,0.00,402,484.81,350,"1,100.75","2,895","1,980.81",208,156.65,1,2.00,1,6.07,968,"8,498.39","4,968","12,344.82"
Sonitpur,132,248,212.05,0,0.00,177,178.82,835,"2,950.53",640,611.49,284,182.73,0,0.00,0,0.00,939,"13,954.59","3,123","18,090.21"
South Salmara,14,0,-,0,0.00,0,-,-,-,-,-,-,-,0,0.00,0,0.00,5,444.69,5,444.69
Tamulpur,21,4,7.78,0,0.00,8,2.64,0,0,78,45.82,44,28.2,0,0.00,0,0.00,19,609.63,153,694.07
Tinsukia,153,289,326.37,0,0.00,1030,"2,088.64",493,"1,679.81","1,195","1,002.41",94,66.45,0,0.00,2,45.73,"1,033","21,949.91","4,136","27,159.32"
Udalguri,55,39,40.54,0,0.00,24,41.00,2,6.13,183,327.7,42,25.91,0,0.00,0,0.00,101,"1,561.26",391,"2,002.54"
West Karbi Anglong,22,4,4.82,0,0.00,6,30.14,0,0,1,0.01,0,0,0,0.00,0,0.00,28,76.85,39,111.82
