district,Total Advance,cd_ratio_as_on_march,cd_ratio_as_on_march_2019_deposit
Alipurduar,1714.74,41.0,4225.44
Bankura,4071.17,41.0,9646.9
Birbhum,5761.03,35.0,14234.64
Cooch Behar,4955.45,60.0,6852.76
Dakshin Dinajpur,2053.08,51.0,3914.88
Darjeeling,8080.4,45.0,17124.93
Hooghly,11712.05,26.0,38978.17
Howrah,14140.23,39.0,35180.29
Jalpaiguri,4231.12,42.0,9805.64
Jhargram,1302.78,41.0,3231.98
Kalimpong,433.35,37.0,1070.74
Kolkata,257289.96,87.0,325318.76
Malda,6037.87,50.0,11196.63
Murshidabad,6482.13,50.0,12239.98
Nadia,14157.02,46.0,28827.16
Paschim Bardhaman,10512.21,41.0,26237.29
Paschim Medinipur,8564.88,43.0,19401.22
Purba Bardhaman,10632.45,41.0,22412.4
Purba Medinipur,9884.98,43.0,22209.86
Purulia,3295.45,41.0,7542.34
Uttar Dinajpur,3695.96,58.0,6443.2
