district,Deposit Amount (D),Advance Amount (A),Current C:D Ratio-1
Baksa,90182.07,45440.48,50.39
Barpeta,407594.76,261875.4,64.25
Biswanath,152550.26,73843.85,48.41
Bongaigaon,278322.83,149186.59,53.6
Cachar,803955.34,330521.76,41.11
Charaideo,89313.25,40825.23,45.71
Chirang,114559.12,50072.46,43.71
Darrang,200867.71,124419.67,61.94
Dhemaji,127430.56,87551.91,68.71
Dhubri,274654.31,155512.67,56.62
Dibrugarh,970733.53,445444.4,45.89
Dima Hasao,81079.82,27116.58,33.44
Goalpara,195945.83,96123.68,49.06
Golaghat,306674.92,225336.53,73.48
Hailakandi,151220.61,56755.05,37.53
Hojai,209780.85,80287.2,38.27
Jorhat,607421.61,348206.51,57.33
Kamrup,516986.03,369685.31,71.51
Kamrup Metro,6131890.45,2313159.97,37.72
Karbi Anglong,168002.71,83997.25,50
Karimganj,343369.91,116873.94,34.04
Kokrajhar,253320.99,81893.4,32.33
Lakhimpur,260671.7,189129.57,72.55
Majuli,33475.55,17123.11,51.15
Morigaon,172704.44,130060.19,75.31
Nagaon,529272.47,352484.79,66.6
Nalbari,258468.18,147272.19,56.98
Sivasagar,414836.91,235340.33,56.73
Sonitpur,501691.91,296849.31,59.17
South Salmara,22584.54,8564.26,37.92
Tinsukia,616039.96,317113.03,51.48
Udalguri,109259.72,79000.05,72.3
West Karbi Anglong,36379.93,27076.67,74.43
