district,Total Br.,DEPOSIT Rural,Semi- Urban,Urban,Total,ADVANCES Rural,Semi- Urban,Urban,Total,CD RATIO Rural,Semi- Urban,Urban,Overall
Aizawl,106,42548.91,,41.27,407625.65,17954.32,,41.27,407625.65,42.20,,41.27,41.31
Champhai,16,6868.47,58.70,,31101.38,4464.15,58.70,,31101.38,64.99,58.70,,59.67
Hnahthial,5,14623.63,51.23,,7026.26,6386.92,51.23,,7026.26,43.68,51.23,,44.28
Khawzawl,7,6123.46,59.18,,9331.67,3338.29,59.18,,9331.67,54.52,59.18,,57.42
Kolasib,18,11825.32,64.62,,31920.90,7600.30,64.62,,31920.90,64.27,64.62,,64.55
Lawngtlai,12,11742.97,91.26,,40363.28,11810.91,91.26,,40363.28,100.58,91.26,,93.85
Lunglei,19,9138.13,62.69,,60442.64,5013.09,62.69,,60442.64,54.86,62.69,,62.00
Mamit,12,22959.88,120.72,,18428.57,15800.47,120.72,,18428.57,68.82,120.72,,73.34
Saiha,6,3565.38,87.28,,29283.02,2813.66,87.28,,29283.02,78.92,87.28,,86.44
Saitual,10,6420.31,58.32,,11143.81,5177.61,58.32,,11143.81,80.64,58.32,,66.93
Serchhip,15,22835.35,61.82,,27749.85,12255.08,61.82,,27749.85,53.67,61.82,,58.02
