District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,34,972.98,302,104.5,0,0.00,0,0.00,0,0.00
Baksa,34,860.72,414,245.05,0,0.00,0,0.00,0,0.00
Barpeta,90,5360.63,3002,3222.52,0,0.00,0,0.00,0,0.00
Biswanath,62,2037.05,508,340.43,0,0.00,0,0.00,0,0.00
Bongaigaon,66,3313.17,1757,149.13,13,0.13,0,0.00,0,0.00
Cachar,168,14829.18,3250,1015.29,22,0.22,0,0.00,0,0.00
Charaideo,36,1751.00,1382,790.21,0,0.00,0,0.00,0,0.00
Chirang,39,1954.62,1092,76.79,0,0.00,0,0.00,0,0.00
Darrang,70,3305.54,474,200.69,0,0.00,0,0.00,0,0.00
Dhemaji,47,6783.39,720,524.08,4,0.04,0,0.00,0,0.00
Dhubri,89,4774.66,1326,990.75,0,0.00,0,0.00,0,0.00
Dibrugarh,188,11517.84,8000,696.76,0,0.00,0,0.00,0,0.00
Dima Hasao,32,163.80,25,16.75,0,0.00,0,0.00,0,0.00
Goalpara,71,3610.22,1823,1114.43,0,0.00,0,0.00,0,0.00
Golaghat,124,7909.24,2010,728.61,0,0.00,0,0.00,0,0.00
Hailakandi,47,2308.80,895,17395.84,0,0.00,0,0.00,0,0.00
Hojai,62,5762.62,87,313.9,0,0.00,0,0.00,0,0.00
Jorhat,141,7899.46,2110,463.57,0,0.00,0,0.00,0,0.00
Kamrup Metro,176,6731.30,907,4915.9,0,0.00,0,0.00,0,0.00
Karbi Anglong,65,1911.41,1896,922.16,0,0.00,0,0.00,0,0.00
Karimganj,95,7493.75,1161,1519.03,0,0.00,0,0.00,0,0.00
Kokrajhar,58,2323.16,1892,8004.13,0,0.00,0,0.00,0,0.00
Lakhimpur,91,10796.52,3433,820.65,0,0.00,0,0.00,0,0.00
Majuli,17,840.93,125,83.54,0,0.00,0,0.00,0,0.00
Morigaon,69,9200.08,1505,2096.02,0,0.00,0,0.00,0,0.00
Nagaon,153,14169.78,3871,454.63,0,0.00,0,0.00,0,0.00
Nalbari,88,3264.50,1353,774.72,0,0.00,0,0.00,0,0.00
Sivasagar,102,6870.90,3278,744.27,0,0.00,0,0.00,0,0.00
Sonitpur,132,7094.62,1036,181.03,0,0.00,0,0.00,0,0.00
South Salmara,14,77.12,80,5.43,0,0.00,0,0.00,0,0.00
Tamulpur,22,384.75,39,23.97,0,0.00,0,0.00,0,0.00
Tinsukia,153,10866.33,3393,3575.8,0,0.00,0,0.00,0,0.00
Udalguri,55,2330.33,811,1612.46,0,0.00,0,0.00,0,0.00
West Karbi Anglong,22,912.82,311,211.23,0,0.00,0,0.00,0,0.00
