District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Bajali,34,0,0.00,7,28.16,35,93.34,0,0.00,10,2.91,391,113.96,443,238.37
Baksa,34,0,0.00,8,13.95,41,90.13,0,0.00,9,3.60,142,49.67,200,157.35
Barpeta,90,0,0.00,37,110.26,49,227.18,0,0.00,290,142.04,1067,83.54,1443,563.02
Biswanath,62,0,0.00,15,24.77,41,121.63,0,0.00,0,0.00,1999,508.68,2055,655.08
Bongaigaon,66,0,0.00,8,18.59,21,116.37,0,0.00,64,33.72,1068,111.16,1161,279.84
Cachar,168,0,0.00,61,135.89,46,275.57,0,0.00,7,2.49,2073,509.93,2187,923.88
Charaideo,36,0,0.00,9,21.45,8,68.21,0,0.00,30,13.10,545,71.70,592,174.46
Chirang,39,0,0.00,11,25.80,5,19.51,0,0.00,87,18.56,937,78.98,1040,142.85
Darrang,70,0,0.00,22,67.17,72,198.87,0,0.00,26,13.16,1464,285.94,1584,565.14
Dhemaji,47,0,0.00,13,33.35,21,107.15,0,0.00,8,2.34,505,149.42,547,292.26
Dhubri,89,0,0.00,15,50.86,44,97.00,0,0.00,172,104.62,890,246.08,1121,498.56
Dibrugarh,188,0,0.00,54,155.34,73,532.38,0,0.00,8,2.77,2327,393.98,2462,1084.47
Dima Hasao,32,0,0.00,2,3.60,8,12.36,0,0.00,0,0.00,3,1.84,13,17.80
Goalpara,71,0,0.00,13,48.59,41,148.18,1,0.06,330,219.48,1603,338.12,1988,754.43
Golaghat,124,0,0.00,27,67.02,21,85.88,0,0.00,0,0.00,1550,229.36,1598,382.26
Hailakandi,47,0,0.00,13,25.26,38,254.47,0,0.00,15,8.12,157,45.04,223,332.89
Hojai,62,0,0.00,14,59.58,13,78.98,0,0.00,0,0.00,412,91.00,439,229.56
Jorhat,141,0,0.00,39,130.39,95,455.59,0,0.00,0,0.00,4207,357.60,4341,943.58
Kamrup Metro,176,0,0.00,42,118.02,152,371.07,0,0.00,10,4.85,10352,1244.38,10556,1738.32
Karbi Anglong,65,0,0.00,14,28.49,41,183.22,0,0.00,0,0.00,575,145.35,630,357.06
Karimganj,95,0,0.00,16,35.58,17,53.06,0,0.00,5,1.54,1167,284.06,1205,374.24
Kokrajhar,58,0,0.00,8,11.28,15,88.41,0,0.00,9,5.93,1096,115.08,1128,220.70
Lakhimpur,91,0,0.00,24,35.56,30,165.18,0,0.00,52,22.00,1708,539.56,1814,762.30
Majuli,17,0,0.00,5,14.91,2,2.96,0,0.00,0,0.00,542,8.44,549,26.31
Morigaon,69,0,0.00,12,32.85,49,167.88,0,0.00,13,5.61,519,45.39,593,251.73
Nagaon,153,0,0.00,34,74.01,98,582.95,0,0.00,0,0.00,2433,440.92,2565,1097.88
Nalbari,88,0,0.00,44,122.49,125,337.80,1,7.94,3,0.47,3384,571.43,3557,1040.13
Sivasagar,102,0,0.00,24,46.73,63,403.10,0,0.00,3,2.12,1367,261.82,1457,713.77
Sonitpur,132,0,0.00,65,166.12,114,454.13,0,0.00,0,0.00,3845,1399.39,4024,2019.64
South Salmara,14,0,0.00,6,27.79,12,32.01,0,0.00,6,4.34,194,243.68,218,307.82
Tamulpur,22,0,0.00,4,15.79,23,88.38,0,0.00,7,1.75,125,26.66,159,132.58
Tinsukia,153,0,0.00,39,90.61,35,256.91,1,0.00,11,4.86,1615,71.35,1701,423.73
Udalguri,55,0,0.00,26,77.67,27,114.36,0,0.00,0,0.00,2768,1221.36,2821,1413.39
West Karbi Anglong,22,0,0.00,0,-,12,35.48,0,0.00,5,0.39,1,3.03,18,38.90
