district,No. of camps conducted during the June'22 Quarter of FY(2022-23),No. of camps conducted during the Sept'22 Quarter of FY(2022-23),No. of camps conducted during the Dec'22 Quarter of FY(2022-23),No. of camps conducted during the Mar23 Quarter of FY(2022-23),Total No. of Camps during the FY(2022- 23)
Baksa,42,59,49,8,158
Barpeta,31,60,196,36,323
Biswanath,25,30,84,14,153
Bongaigaon,7,29,0,23,59
CHORAIDEO,27,29,91,0,147
Cachar,21,18,34,0,73
Chirang,4,3,6,52,65
Darrang,1,2,28,60,91
Dhemaji,19,24,0,66,109
Dhubri,23,24,62,16,125
Dibrugarh,4,7,14,10,35
Dima Hasao,45,54,18,42,159
Goalpara,5,24,10,0,39
Golaghat,74,222,0,9,305
Hailakandi,0,8,6,42,56
Hojai,16,16,42,30,104
Jorhat,21,28,62,0,111
KARIMGANJ,32,10,6,0,48
Kamrup,46,80,78,176,380
Kamrup Metro,20,40,48,0,108
Karbi Anglong,2,10,0,11,23
Kokrajhar,21,25,76,10,132
Lakhimpur,8,8,0,116,132
Majuli,15,16,40,28,99
Morigaon,0,7,16,0,23
Nagaon,4,8,0,18,30
Nalbari,14,14,14,9,51
SIVSAGAR,38,14,14,0,66
Sonitpur,15,89,4,7,115
South Salmara,0,11,0,0,11
Tinsukia,12,6,32,26,76
Udalguri,9,9,36,84,138
West Karbi Anglong,11,0,6,2,19
