District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Baksa,57,50,196.08,60,113.28,935,1429.52,664,909.32,63.61
Barpeta,122,427,1884.07,429,1576.77,1786,3495.30,781,1326.16,37.94
Biswanath,57,42,221.31,75,235.14,376,610.70,146,178.36,29.21
Bongaigaon,59,106,433.30,87,217.77,679,944.47,319,365.31,38.68
Cachar,163,171,990.15,179,783.63,1608,2246.36,510,792.43,35.28
Charaideo,35,17,78.86,24,86.23,237,471.34,146,259.93,55.15
Chirang,35,61,182.86,60,135.09,1085,1256.52,941,1061.97,84.52
Darrang,69,77,321.22,73,192.77,808,1344.84,462,653.18,48.57
Dhemaji,45,173,753.68,210,670.15,918,2153.18,320,592.40,27.51
Dhubri,87,238,788.90,217,523.43,1857,2690.88,999,1222.89,45.45
Dibrugarh,182,250,1519.54,309,1203.71,1293,2649.85,533,833.28,31.45
Dima Hasao,30,63,217.06,57,176.29,256,481.87,40,52.14,10.82
Goalpara,69,60,215.88,61,156.03,827,917.18,465,575.73,62.77
Golaghat,120,74,361.13,108,294.34,852,1777.12,460,621.97,35.00
Hailakandi,44,125,569.46,126,455.33,619,1146.68,317,458.66,40.00
Hojai,57,68,355.27,88,320.09,420,552.99,138,188.45,34.08
Jorhat,132,90,632.56,100,489.76,785,1512.32,348,436.11,28.84
Kamrup Metro,172,275,1018.58,302,902.38,1438,2137.93,757,936.50,43.80
Karbi Anglong,64,75,254.61,67,196.91,318,499.50,103,117.51,23.53
Karimganj,88,93,422.58,98,354.02,687,1082.46,235,324.94,30.02
Kokrajhar,51,82,254.70,84,197.46,1564,1976.58,1256,1481.41,74.95
Lakhimpur,91,111,589.46,157,547.71,1230,2802.59,518,1198.80,42.77
Majuli,16,27,102.36,28,79.07,194,268.09,50,60.96,22.74
Morigaon,67,62,310.18,67,202.08,709,1099.36,431,666.05,60.59
Nagaon,152,188,1193.23,196,983.03,1576,2761.98,678,944.33,34.19
Nalbari,84,105,493.44,102,299.82,948,1770.27,521,846.26,47.80
Sivasagar,97,178,1065.75,201,967.63,950,2339.16,304,503.06,21.51
Sonitpur,125,143,798.76,160,702.17,1071,1803.15,456,675.55,37.46
South Salmara,12,30,122.69,30,83.92,490,644.40,399,486.66,75.52
Tinsukia,148,201,1007.30,197,736.80,1055,2212.64,388,565.99,25.58
Udalguri,49,44,194.16,21,53.60,1504,2456.48,1307,2130.19,86.72
West Karbi Anglong,22,4,24.09,4,15.36,9,14.72,7,7.47,50.75
