district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_23_24,no_of_sponsored_application_in_fy_fy_23_24,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_fy_23_24,target_fy_fy_23_24
Alipurduar,163.79,1319.0,6.0,6.0,109.0,7.0,9.0,1.0,1.0,83.0,91.0,24.0,70.0,277.5,185.0,35.0
Bankura,576.23,2547.0,9.0,68.0,268.0,3.0,5.0,51.0,51.0,292.0,366.0,18.0,118.0,468.0,312.0,59.0
Birbhum,886.06,3931.0,4.0,302.0,769.0,29.0,29.0,149.0,151.0,449.0,442.0,48.0,374.0,1330.5,887.0,187.0
Cooch Behar,503.22,1818.0,54.0,116.0,333.0,6.0,6.0,45.0,45.0,255.0,264.0,42.0,252.0,660.0,440.0,126.0
Dakshin Dinajpur,325.61,1973.0,21.0,81.0,201.0,2.0,2.0,35.0,35.0,165.0,316.0,21.0,122.0,592.5,395.0,61.0
Darjeeling,625.57,2499.0,4.0,32.0,324.0,4.0,4.0,27.0,26.0,317.0,328.0,27.0,236.0,720.0,480.0,118.0
Hooghly,1553.07,6635.0,36.0,252.0,1007.0,11.0,11.0,191.0,192.0,787.0,822.0,78.0,582.0,1684.5,1123.0,291.0
Howrah,398.63,2013.0,61.0,29.0,328.0,0.0,0.0,20.0,20.0,202.0,203.0,18.0,208.0,816.0,544.0,104.0
Jalpaiguri,471.64,1841.0,116.0,41.0,310.0,2.0,2.0,18.0,19.0,239.0,277.0,24.0,176.0,445.5,297.0,88.0
Jhargram,102.62,529.0,20.0,2.0,53.0,0.0,0.0,0.0,0.0,52.0,58.0,3.0,40.0,130.5,87.0,20.0
Kalimpong,25.65,192.0,7.0,11.0,20.0,0.0,0.0,9.0,9.0,13.0,18.0,15.0,34.0,120.0,80.0,17.0
Kolkata,491.38,1801.0,177.0,156.0,499.0,0.0,0.0,50.0,143.0,249.0,269.0,15.0,240.0,450.0,300.0,120.0
Malda,256.54,912.0,32.0,16.0,159.0,3.0,3.0,4.0,20.0,130.0,134.0,15.0,90.0,393.0,262.0,45.0
Murshidabad,1264.95,6030.0,30.0,139.0,719.0,6.0,9.0,85.0,88.0,641.0,639.0,72.0,388.0,1531.5,1021.0,194.0
Nadia,1409.01,6459.0,49.0,170.0,844.0,6.0,10.0,141.0,142.0,714.0,819.0,72.0,504.0,1740.0,1160.0,252.0
North 24 Parganas,3512.65,17095.0,258.0,455.0,2280.0,10.0,12.0,304.0,311.0,1780.0,1873.0,171.0,1292.0,4800.0,3200.0,646.0
Paschim Bardhaman,430.2,3184.0,174.0,113.0,680.0,1.0,3.0,9.0,9.0,218.0,241.0,27.0,200.0,903.0,602.0,100.0
Paschim Medinipur,921.58,4338.0,25.0,166.0,571.0,9.0,9.0,104.0,104.0,467.0,486.0,57.0,366.0,987.0,658.0,183.0
Purba Bardhaman,868.3,3751.0,32.0,129.0,386.0,7.0,8.0,95.0,96.0,440.0,429.0,36.0,334.0,753.0,502.0,167.0
Purba Medinipur,670.96,3417.0,39.0,127.0,532.0,11.0,12.0,111.0,113.0,340.0,341.0,57.0,232.0,549.0,366.0,116.0
Purulia,244.7,1250.0,5.0,53.0,132.0,2.0,2.0,41.0,41.0,124.0,128.0,12.0,114.0,285.0,190.0,57.0
South 24 Parganas,700.56,4075.0,50.0,110.0,622.0,3.0,4.0,81.0,81.0,355.0,439.0,39.0,320.0,1236.0,824.0,160.0
Uttar Dinajpur,548.61,2362.0,31.0,59.0,431.0,15.0,17.0,42.0,42.0,278.0,283.0,66.0,190.0,735.0,490.0,95.0
