District,Lead Bank Allottedto,No. of villages,No. ofhouse – holds,Households Covered (Accounts Opened),% of householdscovered,No. of KCC issued
Thoubal,a di n I of k n a B e at St,128,85295,163766,100,8456
Kakching,,,,,,862
Chandel,,447,29097,29917,100,1550
Tengnoupal,,,,,,1024
Churachandpur,,613,49916,71708,100,4208
Pherzawl,,,,,,0
Senapati,,934,34487,73153,100,5492
Kangpokpi,,,,,,2595
Imphal West,,150,111393,177687,100,20723
Imphal East,a di n I of k n a B d e nit U,195,91806,82141,89,6806
Jiribam,,,,,,0
Bishnupur,,48,44891,91094,100,7501
Tamenglong,,171,24477,32228,100,134
Noney,,,,,,17
Ukhrul,,198,35790,40798,100,576
Kamjong,,,,,,0
