district,DEPOSITS Rural,Semi-Urban,Urban,Total,ADVANCES Rural,CD RATIO Rural,Overall
Aizawl,43858.98,23.94,37.68,379440.52,14681.51,33.47,37.39
Champhai,6849.54,42.2,,26369.21,3460.75,50.53,43.14
Hnahthial,15369.65,36.32,,5841.18,5331.32,34.69,34.82
Khawzawl,6173.36,48.15,,8735.70,3049.38,49.40,48.58
Kolasib,10760.50,51.8,,27602.38,6521.65,60.61,53.64
Lawngtlai,11777.68,81.63,,37152.57,9918.63,84.22,82.3
Lunglei,8702.17,61.87,,53251.00,4483.38,51.52,60.84
Mamit,24262.99,97.28,,17174.33,14793.40,60.97,64.3
Saiha,3389.05,74.83,,26944.65,2404.79,70.96,74.47
Saitual,6522.83,41.77,,9606.30,4345.28,66.62,50.24
Serchhip,21000.05,50.8,,23382.52,9902.11,47.15,49.19
