district,camp_conducted_by_rural_branches_during_the_quarter,no_of_participants,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,total_camps_conducted_during_the_quarter
Alipurduar,59.0,0.0,0.0,0.0,89.0
Bankura,168.0,304.0,6.0,12.0,12.0
Birbhum,212.0,2092.0,21.0,63.0,84.0
Cooch Behar,124.0,737.0,28.0,28.0,28.0
Darjeeling,76.0,3803.0,4.0,25.0,55.0
Hooghly,237.0,740.0,0.0,25.0,0.0
Howrah,115.0,1385.0,0.0,48.0,85.0
Jalpaiguri,79.0,165.0,2.0,6.0,0.0
Jhargram,82.0,162.0,6.0,6.0,6.0
Kalimpong,14.0,0.0,0.0,0.0,0.0
Kolkata,3.0,35.0,1.0,1.0,0.0
Malda,184.0,577.0,10.0,10.0,90.0
Murshidabad,334.0,210.0,6.0,6.0,396.0
Nadia,230.0,1045.0,18.0,18.0,29.0
North 24 Parganas,255.0,1016.0,12.0,22.0,125.0
Paschim Bardhaman,91.0,0.0,0.0,0.0,51.0
Paschim Medinipur,248.0,139.0,2.0,2.0,132.0
Purba Bardhaman,203.0,484.0,1.0,13.0,92.0
Purba Medinipur,177.0,901.0,35.0,22.0,55.0
Purulia,158.0,318.0,8.0,11.0,109.0
South 24 Parganas,304.0,115.0,14.0,4.0,42.0
Uttar Dinajpur,97.0,1062.0,37.0,37.0,65.0
