district,Bank Name,Number of operative CASA,Number of Aadhaar seeded,Number of Authenticat ed CASA,Number of operative CASA,Number of Aadhaar seeded,Number of Authenti cated
Bishnupur,BOB,195131,108253,52557,195131,108253,118791
Chandel,BOI,34976,20221,40465,34976,20221,18316
Churachandpur,BOM,261044,169105,8557,261044,169105,110301
Imphal East,CAN,352276,241681,10767,352276,241681,191768
Imphal West,CBI,1203019,876135,82683,1203019,876135,789409
Jiribam,IND,52519,32934,22160,52519,32934,5570
Kakching,IOB,148840,86088,20581,148840,86088,65823
Kamjong,PNB,5455,2243,18422,5455,2243,2370
Kangpokpi,PSB,105437,52013,43544,105437,52013,49692
Noney,SBI,10309,4392,389552,10309,4392,2975
Pherzawl,UCO,9,9,132916,9,9,9
Senapati,UNI,128573,58467,13876,128573,58467,46232
Tamenglong,Total,52431,34633,836080,52431,34633,2823
Tengnoupal,AXIS,40921,24393,31735,40921,24393,18229
Thoubal,BAND,215898,123608,9130,215898,123608,82351
Ukhrul,HDFC,136192,75385,12518,136192,75385,39295
