district,Micro TL No,Amt,Micro WC No,Small TL No,Small WC No,Medium TL No,Medium WC No,KVIC TL No,KVIC WC No,Othersunder MSMEs No,Tot MSME (PS) Disb No
Bishnupur,58,608.03,24,1,1,0,0,0,0,0,84
Chandel,10,10.39,1,0,0,0,0,0,0,0,11
Churachandpur,108,2888.67,58,2,10,1,0,0,0,0,179
Imphal East,216,2757.11,51,12,10,0,0,0,0,1,279
Imphal West,626,23079.4,300,114,29,11,1,8,7,0,1075
Jiribam,2,2.46,1,1,1,0,0,0,0,0,5
Kakching,157,868.25,14,11,6,0,0,0,0,0,188
Kamjong,4,16.49,1,0,0,0,0,0,0,0,5
Kangpokpi,50,84.88,9,1,0,0,0,0,0,0,60
Noney,8,16.07,2,0,0,0,0,0,0,1,11
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,45,275.55,23,3,2,0,0,1,0,1,71
Tamenglong,6,38.31,4,1,1,0,0,0,0,0,12
Tengnoupal,13,22.53,5,0,0,0,0,0,0,0,18
Thoubal,114,899.63,36,2,3,0,1,0,0,0,156
Ukhrul,31,134.42,10,0,0,0,0,0,0,1,42
