District,Amount (D),Amount (A),Ratio,Rural Br,Urban Br,Total Branch,BC,ATM,Urban
Bishnupur,22391.51,22471.23,100,3,14,17,37,19,7
Chandel,19197.81,14774.20,77,4,0,4,7,4,0
Churachandpur,63591.22,39045.90,61,11,5,17,29,29,17
Imphal East,103015.01,67944.15,66,21,1,34,34,47,1
Imphal West,567790.32,360389.48,63,9,5,73,60,175,10
Jiribam,5838.12,5774.31,99,2,0,2,5,2,0
Kakching,13654.96,18853.97,138,1,7,8,26,10,5
Kamjong,655.42,1459.10,223,1,0,1,2,1,0
Kangpokpi,14574.27,14381.14,99,8,0,8,8,8,0
Noney,1795.56,2046.68,114,3,0,3,4,1,0
Senapati,28485.04,21957.98,77,12,1,13,13,17,1
Tamenglong,12421.78,3506.86,28,2,3,5,8,2,2
Tengnoupal,7020.31,7749.15,110,3,4,7,6,6,3
Thoubal,29821.49,28359.89,95,3,13,16,36,26,13
Ukhrul,18748.17,7844.44,42,3,3,6,12,7,5
