District,Total Village,Above 5000 No. of villages,Covered by Branch/BC (Cbs enabled banking outlet),No. of Uncovered Villages,2000-5000 No. of villages,Below 2000 No. of villages,Total No. of Covered Villages
Imphal West,107,4,67,0,36,67,107
Imphal East,141,4,95,0,42,95,141
Jiribam,50,0,48,0,2,48,50
Thoubal,61,11,29,0,21,29,61
Kakching,26,6,10,0,10,10,26
Bishnupur,48,6,22,0,20,22,48
Pherzawl,89,0,31,56,2,87,33
Senapati,136,11,69,19,42,83,117
Kangpokpi,533,0,457,70,6,527,463
Tamenglong,117,0,81,33,3,114,84
Noney,57,0,52,1,4,53,56
Ukhrul,95,1,57,31,12,82,64
Kamjong,118,0,37,80,1,117,38
Chandel,267,0,141,125,1,266,142
Tengnoupal,163,0,131,31,1,162,132
