District,Numberof Pending Cases Atthe Begining Ofthe Quarter,Amountof Pending Cases Atthe Begining Ofthe Quarter,Numberof Casesaddduring The Quarter,Amountof Casses Addduringthe Quarter,Numberof Cases Settledduring The Quarter,Amountof Casessettledduringthequarter,Numberof Pending Casesatthecloseofthe Quarter,Amountof Pending Casesattheclaseofthe Quarter
Bishnupur,91,189.35,0,0,0,0,91,189.35
Chandel,0,0,0,0,0,0,0,0
Churachandpur,11,32.03,0,0,0,0,11,32.03
Imphal East,35,423.18,0,0,0,0,35,423.18
Imphal West,295,854.31,0,0,3,5.5,295,854.31
Jiribam,0,0,0,0,0,0,0,0
Kakching,70,199.33,0,0,0,0,70,199.33
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,9,12.06,0,0,0,0,9,12.06
Noney,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0
Thoubal,83,169.8,0,0,0,0,83,169.8
Ukhrul,6,1.56,0,0,0,0,6,1.56
