District,Bank,TOTAL Trained,TOTAL Settled,TOTAL Settled %,Credit Linkage,Credit
Baksa,SBI,286,236,82.52%,130,
Barpeta,UCO,490,178,36.33%,0,
Bongaigaon,AGVB,174,64,36.78%,33,
Cachar,PNB,300,97,32.33%,77,
Chirang,SBI,265,148,55.85%,69,
Darrang,UCO,413,97,23.49%,56,
Dhemaji,PNB,232,131,56.47%,40,
Dhubri,UCO,347,244,70.32%,156,
Dibrugarh,PNB,95,37,38.95%,4,
Dima Hasao,SBI,231,178,77.06%,127,
Goalpara,UCO,515,450,87.38%,289,
Golaghat,PNB,116,101,87.07%,18,
Jorhat,AGVB,181,38,20.99%,4,
Kamrup Metro,AGVB,374,72,19.25%,2,
Karbi Anglong,SBI,338,235,69.53%,131,
Karimganj,PNB,178,97,54.49%,56,
Kokrajhar,UCO,350,81,23.14%,20,
Lakhimpur,PNB,199,2,1.01%,1,
Morigaon,PNB,147,128,87.07%,22,
Nagaon,RUDSETI,480,257,53.54%,49,
Nalbari,UCO,234,54,23.08%,2,
Sivasagar,PNB,115,34,29.57%,8,
Sonitpur,AGVB,197,110,55.84%,19,
Tinsukia,CBI,233,49,21.03%,49,
Udalguri,SBI,323,274,84.83%,90,
