district,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,10,4.00,82,58.42
Chandel,BOI,0,0.00,1,0.94
Churachandpur,BOM,0,0.00,20,75.14
Imphal East,CAN,0,0.00,626,516.69
Imphal West,CBI,51,50.00,372,294.81
Jiribam,IND,0,0.00,0,0.00
Kakching,IOB,0,0.00,9,13.25
Kamjong,PNB,0,0.00,0,0.00
Kangpokpi,PSB,0,0.00,7,5.11
Noney,SBI,0,0.00,0,0.00
Pherzawl,UCO,0,0.00,0,0.00
Senapati,UNI,1,6.00,40,88.28
Tamenglong,Total,0,0.00,0,0.00
Tengnoupal,AXIS,1,0.45,1,0.39
Thoubal,BAND,0,0.00,469,320.04
Ukhrul,HDFC,2,0.60,12,20.59
