district,Bank Name,CY Disburse ment No.,CY Disburse ment Amt.,Outstand ing No.,Outstand ing Amt.,CY Disburse ment No.,CY Disburse ment Amt.,Outstand ing No.,Outstand ing Amt.
Bishnupur,BOB,28,56.73,185,333,28,56.73,185,333
CHURACHAND,BOM,6,2.1,22,47.87,6,2.1,22,47.87
Chandel,BOI,0,0,1,0.85,0,0,1,0.85
Imphal East,CAN,93,236.4,2161,1847.14,93,236.4,2161,1847.14
Imphal West,CBI,101,185.08,1794,1172.56,101,185.08,1794,1172.56
Jiribam,IND,0,0,0,0,0,0,0,0
Kakching,IOB,0,0,47,47.14,0,0,47,47.14
Kamjong,PNB,0,0,0,0,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22,0,0,11,10.22
Noney,SBI,0,0,0,0,0,0,0,0
Pherzawl,UCO,0,0,0,0,0,0,0,0
Senapati,UNI,2,3.56,34,44.91,2,3.56,34,44.91
Tamenglong,Total,0,0,0,0,0,0,0,0
Tengnoupal,AXIS,0,0,0,0,0,0,0,0
Thoubal,BAND,97,242.29,958,1196.13,97,242.29,958,1196.13
Ukhrul,HDFC,2,0.63,8,19.83,2,0.63,8,19.83
