district,Bank Name,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bishnupur,BOB,281456,186379,168180,281456,186379,168180
Chandel,BOI,34661,20120,9512,34661,20120,9512
Churachandpur,BOM,260733,174415,91772,260733,174415,91772
Imphal East,CAN,426959,290007,246923,426959,290007,246923
Imphal West,CBI,827737,544329,415541,827737,544329,415541
Jiribam,IND,49018,31667,5758,49018,31667,5758
Kakching,IOB,183593,122421,90891,183593,122421,90891
Kamjong,PNB,5480,2520,2363,5480,2520,2363
Kangpokpi,PSB,106743,54563,87709,106743,54563,87709
Noney,SBI,24535,16677,14593,24535,16677,14593
Pherzawl,UCO,1,1,1,1,1,1
Senapati,UNI,126989,61543,37735,126989,61543,37735
Tamenglong,Total,49926,34689,2987,49926,34689,2987
Tengnoupal,AXIS,45809,29372,16997,45809,29372,16997
Thoubal,BAND,318550,210709,167144,318550,210709,167144
Ukhrul,HDFC,134019,79615,35715,134019,79615,35715
