district,PMAY Amount O/S,O/S No PMAY,PMAY Disbursed Current Year Amount under,der Current PMAY Disbursed No un- Year,O/S Loan under Housing Amount PMAY Eligible,ble Loan No PMAY O/S under Eligi- Housing,Loan Rural Amount O/S Housing,Loan No Rural O/S Housing,(NPS) Loan Amount Housing O/S,O/S No (NPS) Loan Housing,O/S Loan (PS) Housing Amount,(PS) No Loan O/S Housing
East Garo Hills,14.18,1,0,0,14.18,1,0.66,8,494.68,50,583.83,93
East Jaintia Hills,4.9,2,0,0,4.9,2,907.46,75,1100.53,21,726.03,80
East Khasi Hills,2204.37,138,0,0,1864.58,120,1403.06,172,61388.85,3790,29799.7,3244
North Garo Hills,0,0,0,0,0,0,19.5,20,270.47,41,675.66,137
Ri Bhoi,475.84,30,0,0,384.97,28,1121.38,128,16523.66,1242,8598.77,819
South Garo Hills,0,0,0,0,0,0,0.28,4,373.58,26,511.52,72
South West Garo Hills,0,0,0,0,0,0,50.93,52,441.55,37,447.73,47
South West Khasi Hills,0,0,0,0,0,0,153.52,38,287.03,11,310.28,37
West Garo Hills,115.65,15,0,0,108.15,13,253.52,38,8020.08,713,5101.85,616
West Jaintia Hills,111.55,10,0,0,15.31,7,425.66,58,1921.42,89,3774.91,409
West Khasi Hills,257.68,32,0,0,238.3,29,151.98,26,445.16,38,1273.2,164
